index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4440,2013,Jan,560201,-,259.4,-,-,ANG MO KIO,1.3687,103.8445,SHANGRI-LA,NORTH-EAST
4441,2013,Jan,560202,-,287.3,-,-,ANG MO KIO,1.3683,103.8445,SHANGRI-LA,NORTH-EAST
4442,2013,Jan,560203,163.4,-,-,-,ANG MO KIO,1.3677,103.8443,SHANGRI-LA,NORTH-EAST
4443,2013,Jan,560204,-,-,384.6,-,ANG MO KIO,1.3678,103.8443,SHANGRI-LA,NORTH-EAST
4444,2013,Jan,560205,-,-,356.4,-,ANG MO KIO,1.3666,103.8433,SHANGRI-LA,NORTH-EAST
4445,2013,Jan,560206,177.1,-,-,-,ANG MO KIO,1.366,103.8431,SHANGRI-LA,NORTH-EAST
4446,2013,Jan,560207,-,-,283.1,-,ANG MO KIO,1.366,103.8429,SHANGRI-LA,NORTH-EAST
4447,2013,Jan,560208,-,228.5,-,-,ANG MO KIO,1.366,103.8429,SHANGRI-LA,NORTH-EAST
4448,2013,Jan,560209,-,-,368.9,-,ANG MO KIO,1.3689,103.8433,SHANGRI-LA,NORTH-EAST
4449,2013,Jan,560210,-,-,340.6,-,ANG MO KIO,1.3688,103.8433,SHANGRI-LA,NORTH-EAST
4450,2013,Jan,560211,-,273.7,396.8,-,ANG MO KIO,1.3694,103.8417,SHANGRI-LA,NORTH-EAST
4451,2013,Jan,560212,-,252.3,-,-,ANG MO KIO,1.3687,103.8417,SHANGRI-LA,NORTH-EAST
4452,2013,Jan,560213,-,248.6,-,-,ANG MO KIO,1.368,103.8413,SHANGRI-LA,NORTH-EAST
4453,2013,Jan,560214,-,238.7,313.7,310.7,ANG MO KIO,1.3673,103.8412,SHANGRI-LA,NORTH-EAST
4454,2013,Jan,560215,-,230.4,-,-,ANG MO KIO,1.3667,103.8417,SHANGRI-LA,NORTH-EAST
4455,2013,Jan,560216,-,236.1,222.9,-,ANG MO KIO,1.3659,103.8414,SHANGRI-LA,NORTH-EAST
4456,2013,Jan,560217,111.4,-,-,-,ANG MO KIO,1.3654,103.8417,SHANGRI-LA,NORTH-EAST
4457,2013,Jan,560218,-,254.0,-,-,ANG MO KIO,1.3653,103.8418,SHANGRI-LA,NORTH-EAST
4458,2013,Jan,560219,-,206.6,-,-,ANG MO KIO,1.3661,103.8407,SHANGRI-LA,NORTH-EAST
4459,2013,Jan,560220,-,233.4,243.6,581.3,ANG MO KIO,1.3657,103.8401,SHANGRI-LA,NORTH-EAST
4460,2013,Jan,560221,-,-,328.2,385.0,ANG MO KIO,1.3662,103.84,SHANGRI-LA,NORTH-EAST
4461,2013,Jan,560222,-,-,322.4,400.8,ANG MO KIO,1.3659,103.8399,SHANGRI-LA,NORTH-EAST
4462,2013,Jan,560223,-,259.8,-,-,ANG MO KIO,1.3658,103.838,SHANGRI-LA,NORTH-EAST
4463,2013,Jan,560224,166.3,-,-,-,ANG MO KIO,1.3667,103.8383,SHANGRI-LA,NORTH-EAST
4464,2013,Jan,560225,-,236.6,356.6,508.6,ANG MO KIO,1.3672,103.8381,SHANGRI-LA,NORTH-EAST
4465,2013,Jan,560226,-,-,332.8,-,ANG MO KIO,1.3675,103.8389,SHANGRI-LA,NORTH-EAST
4466,2013,Jan,560229,-,-,303.1,-,ANG MO KIO,1.3692,103.8384,SHANGRI-LA,NORTH-EAST
4467,2013,Jan,560230,-,220.4,-,-,ANG MO KIO,1.3685,103.8384,SHANGRI-LA,NORTH-EAST
4468,2013,Jan,560231,-,-,356.0,-,ANG MO KIO,1.3682,103.8371,SHANGRI-LA,NORTH-EAST
4469,2013,Jan,560232,-,240.2,-,-,ANG MO KIO,1.3682,103.8371,SHANGRI-LA,NORTH-EAST
4470,2013,Jan,560233,-,265.1,323.6,301.8,ANG MO KIO,1.3677,103.8368,SHANGRI-LA,NORTH-EAST
4471,2013,Jan,560234,-,-,355.2,494.4,ANG MO KIO,1.3677,103.8368,SHANGRI-LA,NORTH-EAST
4472,2013,Jan,560235,-,279.1,-,-,ANG MO KIO,1.3665,103.8364,SHANGRI-LA,NORTH-EAST
4473,2013,Jan,560244,180.5,-,-,-,ANG MO KIO,1.3671,103.8346,SHANGRI-LA,NORTH-EAST
4474,2013,Jan,560245,169.8,-,-,-,ANG MO KIO,1.368,103.8346,SHANGRI-LA,NORTH-EAST
4475,2013,Jan,560253,-,-,-,456.2,ANG MO KIO,1.3694,103.8346,SHANGRI-LA,NORTH-EAST
4476,2013,Jan,560254,-,-,396.4,-,ANG MO KIO,1.3701,103.8347,SHANGRI-LA,NORTH-EAST
4477,2013,Jan,560255,-,245.3,-,-,ANG MO KIO,1.3702,103.8345,SHANGRI-LA,NORTH-EAST
4478,2013,Jan,560256,-,272.0,-,-,ANG MO KIO,1.3702,103.8361,SHANGRI-LA,NORTH-EAST
4479,2013,Jan,560257,107.6,-,-,-,ANG MO KIO,1.3701,103.8358,SHANGRI-LA,NORTH-EAST
