index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
148,2013,Jan,120101,-,-,253.8,302.4,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
149,2013,Jan,120102,-,-,-,577.1,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
150,2013,Jan,120103,-,-,257.2,320.2,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
151,2013,Jan,120104,-,-,-,551.5,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
152,2013,Jan,120105,-,275.4,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
153,2013,Jan,120109,-,282.7,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
154,2013,Jan,120110,-,-,-,549.3,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
155,2013,Jan,120111,-,-,-,476.3,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
156,2013,Jan,120112,-,-,-,468.0,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
157,2013,Jan,120113,-,-,329.3,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
158,2013,Jan,120114,-,-,-,459.7,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
159,2013,Jan,120115,-,-,-,436.8,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
160,2013,Jan,120116,-,-,-,460.3,CLEMENTI,1.3243,103.7717,SUNSET WAY,WEST
161,2013,Jan,120117,-,-,291.9,-,CLEMENTI,1.3243,103.7712,SUNSET WAY,WEST
162,2013,Jan,120118,-,-,321.0,-,CLEMENTI,1.3248,103.7719,SUNSET WAY,WEST
8791,2013,Feb,120101,-,-,251.4,350.3,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
8792,2013,Feb,120102,-,-,-,644.6,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
8793,2013,Feb,120103,-,-,331.0,336.0,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
8794,2013,Feb,120104,-,-,-,644.4,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
8795,2013,Feb,120105,-,300.3,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
8796,2013,Feb,120109,-,303.8,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
8797,2013,Feb,120110,-,-,-,596.8,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
8798,2013,Feb,120111,-,-,-,508.0,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
8799,2013,Feb,120112,-,-,-,472.2,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
8800,2013,Feb,120113,-,-,360.9,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
8801,2013,Feb,120114,-,-,-,486.1,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
8802,2013,Feb,120115,-,-,-,483.8,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
8803,2013,Feb,120116,-,-,-,498.7,CLEMENTI,1.3243,103.7717,SUNSET WAY,WEST
8804,2013,Feb,120117,-,-,321.3,-,CLEMENTI,1.3243,103.7712,SUNSET WAY,WEST
8805,2013,Feb,120118,-,-,337.8,-,CLEMENTI,1.3248,103.7719,SUNSET WAY,WEST
17425,2013,Mar,120101,-,-,264.0,350.8,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
17426,2013,Mar,120102,-,-,-,729.9,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
17427,2013,Mar,120103,-,-,300.1,311.6,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
17428,2013,Mar,120104,-,-,-,734.6,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
17429,2013,Mar,120105,-,300.4,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
17430,2013,Mar,120109,-,312.9,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
17431,2013,Mar,120110,-,-,-,515.0,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
17432,2013,Mar,120111,-,-,-,464.6,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
17433,2013,Mar,120112,-,-,-,382.5,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
17434,2013,Mar,120113,-,-,321.2,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
17435,2013,Mar,120114,-,-,-,447.8,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
17436,2013,Mar,120115,-,-,-,472.1,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
17437,2013,Mar,120116,-,-,-,464.7,CLEMENTI,1.3243,103.7717,SUNSET WAY,WEST
17438,2013,Mar,120117,-,-,300.8,-,CLEMENTI,1.3243,103.7712,SUNSET WAY,WEST
17439,2013,Mar,120118,-,-,308.8,-,CLEMENTI,1.3248,103.7719,SUNSET WAY,WEST
26073,2013,Apr,120101,-,-,281.6,364.4,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
26074,2013,Apr,120102,-,-,-,722.1,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
26075,2013,Apr,120103,-,-,331.4,339.5,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
26076,2013,Apr,120104,-,-,-,724.6,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
26077,2013,Apr,120105,-,320.5,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
26078,2013,Apr,120109,-,325.3,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
26079,2013,Apr,120110,-,-,-,584.2,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
26080,2013,Apr,120111,-,-,-,507.8,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
26081,2013,Apr,120112,-,-,-,462.3,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
26082,2013,Apr,120113,-,-,357.6,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
26083,2013,Apr,120114,-,-,-,490.0,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
26084,2013,Apr,120115,-,-,-,501.5,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
26085,2013,Apr,120116,-,-,-,501.0,CLEMENTI,1.3243,103.7717,SUNSET WAY,WEST
26086,2013,Apr,120117,-,-,322.2,-,CLEMENTI,1.3243,103.7712,SUNSET WAY,WEST
26087,2013,Apr,120118,-,-,339.7,-,CLEMENTI,1.3248,103.7719,SUNSET WAY,WEST
34764,2013,May,120101,-,-,305.8,386.4,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
34765,2013,May,120102,-,-,-,681.8,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
34766,2013,May,120103,-,-,369.4,377.8,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
34767,2013,May,120104,-,-,-,848.8,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
34768,2013,May,120105,-,364.6,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
34769,2013,May,120109,-,345.7,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
34770,2013,May,120110,-,-,-,574.4,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
34771,2013,May,120111,-,-,-,592.2,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
34772,2013,May,120112,-,-,-,567.8,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
34773,2013,May,120113,-,-,414.7,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
34774,2013,May,120114,-,-,-,532.5,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
34775,2013,May,120115,-,-,-,583.5,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
34776,2013,May,120116,-,-,-,534.5,CLEMENTI,1.3243,103.7717,SUNSET WAY,WEST
34777,2013,May,120117,-,-,347.6,-,CLEMENTI,1.3243,103.7712,SUNSET WAY,WEST
34778,2013,May,120118,-,-,369.9,-,CLEMENTI,1.3248,103.7719,SUNSET WAY,WEST
43357,2013,Jun,120101,-,-,313.3,401.7,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
43358,2013,Jun,120102,-,-,-,748.8,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
43359,2013,Jun,120103,-,-,389.6,368.0,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
43360,2013,Jun,120104,-,-,-,839.2,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
43361,2013,Jun,120105,-,364.2,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
43362,2013,Jun,120109,-,351.0,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
43363,2013,Jun,120110,-,-,-,617.9,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
43364,2013,Jun,120111,-,-,-,591.2,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
43365,2013,Jun,120112,-,-,-,501.9,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
43366,2013,Jun,120113,-,-,416.4,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
43367,2013,Jun,120114,-,-,-,546.5,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
43368,2013,Jun,120115,-,-,-,580.7,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
43369,2013,Jun,120116,-,-,-,556.1,CLEMENTI,1.3243,103.7717,SUNSET WAY,WEST
43370,2013,Jun,120117,-,-,350.9,-,CLEMENTI,1.3243,103.7712,SUNSET WAY,WEST
43371,2013,Jun,120118,-,-,377.2,-,CLEMENTI,1.3248,103.7719,SUNSET WAY,WEST
52033,2013,Jul,120101,-,-,314.7,431.3,CLEMENTI,1.3223,103.769,SUNSET WAY,WEST
52034,2013,Jul,120102,-,-,-,737.5,CLEMENTI,1.3223,103.7691,SUNSET WAY,WEST
52035,2013,Jul,120103,-,-,394.3,438.5,CLEMENTI,1.3226,103.7689,SUNSET WAY,WEST
52036,2013,Jul,120104,-,-,-,866.6,CLEMENTI,1.3229,103.7691,SUNSET WAY,WEST
52037,2013,Jul,120105,-,362.8,-,-,CLEMENTI,1.3225,103.7697,SUNSET WAY,WEST
52038,2013,Jul,120109,-,357.2,-,-,CLEMENTI,1.3223,103.7707,SUNSET WAY,WEST
52039,2013,Jul,120110,-,-,-,635.2,CLEMENTI,1.3231,103.7705,SUNSET WAY,WEST
52040,2013,Jul,120111,-,-,-,595.3,CLEMENTI,1.3241,103.7707,SUNSET WAY,WEST
52041,2013,Jul,120112,-,-,-,535.2,CLEMENTI,1.3234,103.7698,SUNSET WAY,WEST
52042,2013,Jul,120113,-,-,396.8,-,CLEMENTI,1.3236,103.7701,SUNSET WAY,WEST
52043,2013,Jul,120114,-,-,-,558.8,CLEMENTI,1.3241,103.7706,SUNSET WAY,WEST
52044,2013,Jul,120115,-,-,-,543.5,CLEMENTI,1.3237,103.7712,SUNSET WAY,WEST
