index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5216,2013,Jan,610063,-,266.0,-,-,JURONG WEST,1.332,103.7224,TAMAN JURONG,WEST
5217,2013,Jan,610064,-,256.3,-,-,JURONG WEST,1.3325,103.7224,TAMAN JURONG,WEST
5218,2013,Jan,610065,-,342.2,-,-,JURONG WEST,1.3325,103.723,TAMAN JURONG,WEST
5219,2013,Jan,610066,-,325.7,-,-,JURONG WEST,1.332,103.7229,TAMAN JURONG,WEST
5220,2013,Jan,610111,181.8,220.7,-,-,JURONG WEST,1.3339,103.7234,TAMAN JURONG,WEST
5221,2013,Jan,610112,-,243.7,339.1,-,JURONG WEST,1.3339,103.7235,TAMAN JURONG,WEST
5222,2013,Jan,610113,-,235.0,-,-,JURONG WEST,1.3333,103.7243,TAMAN JURONG,WEST
5223,2013,Jan,610114,-,270.5,-,-,JURONG WEST,1.3338,103.7242,TAMAN JURONG,WEST
5224,2013,Jan,610115,-,-,-,444.5,JURONG WEST,1.3335,103.7243,TAMAN JURONG,WEST
5225,2013,Jan,610116,175.0,-,-,-,JURONG WEST,1.3349,103.7232,TAMAN JURONG,WEST
5226,2013,Jan,610117,158.2,-,-,-,JURONG WEST,1.335,103.7231,TAMAN JURONG,WEST
5227,2013,Jan,610118,155.9,-,-,-,JURONG WEST,1.3355,103.7228,TAMAN JURONG,WEST
5228,2013,Jan,610119,-,277.8,-,-,JURONG WEST,1.335,103.7242,TAMAN JURONG,WEST
5229,2013,Jan,610120,-,281.3,-,-,JURONG WEST,1.3351,103.7237,TAMAN JURONG,WEST
5230,2013,Jan,610121,-,247.5,-,-,JURONG WEST,1.3356,103.7241,TAMAN JURONG,WEST
5231,2013,Jan,610122,-,229.0,-,-,JURONG WEST,1.3361,103.7238,TAMAN JURONG,WEST
5232,2013,Jan,610151,-,-,-,567.7,JURONG WEST,1.3269,103.7209,TAMAN JURONG,WEST
5233,2013,Jan,610152,-,-,352.6,-,JURONG WEST,1.3274,103.7204,TAMAN JURONG,WEST
5234,2013,Jan,610153,-,-,311.5,-,JURONG WEST,1.3275,103.7208,TAMAN JURONG,WEST
5235,2013,Jan,610154,-,-,-,436.9,JURONG WEST,1.3273,103.7219,TAMAN JURONG,WEST
5236,2013,Jan,610155,-,-,301.4,-,JURONG WEST,1.3276,103.7225,TAMAN JURONG,WEST
5237,2013,Jan,610156,-,-,352.1,379.1,JURONG WEST,1.328,103.7221,TAMAN JURONG,WEST
5238,2013,Jan,610157,-,-,333.5,464.2,JURONG WEST,1.3286,103.7219,TAMAN JURONG,WEST
5239,2013,Jan,610158,-,-,331.9,486.0,JURONG WEST,1.3287,103.7224,TAMAN JURONG,WEST
5240,2013,Jan,610159,-,-,-,480.1,JURONG WEST,1.3296,103.7225,TAMAN JURONG,WEST
5241,2013,Jan,610160,-,-,-,439.8,JURONG WEST,1.3294,103.7213,TAMAN JURONG,WEST
5242,2013,Jan,610161,-,-,-,507.2,JURONG WEST,1.3297,103.7213,TAMAN JURONG,WEST
5243,2013,Jan,610162,-,-,-,461.9,JURONG WEST,1.3299,103.7221,TAMAN JURONG,WEST
5244,2013,Jan,610163,-,-,-,510.3,JURONG WEST,1.3301,103.7224,TAMAN JURONG,WEST
5245,2013,Jan,610177,-,-,292.7,397.1,JURONG WEST,1.3333,103.7212,TAMAN JURONG,WEST
5246,2013,Jan,610178,-,-,333.9,419.0,JURONG WEST,1.3333,103.7211,TAMAN JURONG,WEST
5247,2013,Jan,610179,-,-,348.0,359.8,JURONG WEST,1.3339,103.7208,TAMAN JURONG,WEST
5248,2013,Jan,610180,-,-,336.9,364.4,JURONG WEST,1.3338,103.7211,TAMAN JURONG,WEST
5249,2013,Jan,610181,-,-,314.5,376.7,JURONG WEST,1.3339,103.722,TAMAN JURONG,WEST
5250,2013,Jan,610182,-,-,379.5,341.8,JURONG WEST,1.3338,103.7223,TAMAN JURONG,WEST
5251,2013,Jan,610183,-,-,337.1,287.3,JURONG WEST,1.3334,103.7228,TAMAN JURONG,WEST
5252,2013,Jan,610184,-,-,273.7,376.4,JURONG WEST,1.3333,103.7224,TAMAN JURONG,WEST
5253,2013,Jan,610321,-,-,299.6,420.5,JURONG WEST,1.3374,103.7246,TAMAN JURONG,WEST
5254,2013,Jan,610322,-,-,309.7,367.6,JURONG WEST,1.3371,103.7247,TAMAN JURONG,WEST
5255,2013,Jan,610323,-,-,383.7,387.7,JURONG WEST,1.3367,103.7237,TAMAN JURONG,WEST
5256,2013,Jan,610324,-,-,306.6,414.5,JURONG WEST,1.3366,103.7237,TAMAN JURONG,WEST
5257,2013,Jan,610325,-,-,293.7,350.3,JURONG WEST,1.3359,103.7232,TAMAN JURONG,WEST
5258,2013,Jan,610326,-,-,393.8,432.7,JURONG WEST,1.3357,103.7224,TAMAN JURONG,WEST
5259,2013,Jan,610327,-,-,354.3,383.8,JURONG WEST,1.3362,103.7224,TAMAN JURONG,WEST
5260,2013,Jan,610328,-,-,368.4,390.2,JURONG WEST,1.3369,103.7225,TAMAN JURONG,WEST
5261,2013,Jan,610329,-,-,343.4,380.8,JURONG WEST,1.3376,103.7237,TAMAN JURONG,WEST
5262,2013,Jan,610330,-,-,298.5,384.1,JURONG WEST,1.3378,103.7243,TAMAN JURONG,WEST
5263,2013,Jan,610332,-,-,-,476.2,JURONG WEST,1.3386,103.7237,TAMAN JURONG,WEST
5264,2013,Jan,610333,-,-,-,523.4,JURONG WEST,1.3393,103.7233,TAMAN JURONG,WEST
5265,2013,Jan,610334,-,-,-,419.9,JURONG WEST,1.3391,103.7228,TAMAN JURONG,WEST
5266,2013,Jan,610335,-,-,-,377.8,JURONG WEST,1.3389,103.723,TAMAN JURONG,WEST
5267,2013,Jan,610336,-,-,-,421.2,JURONG WEST,1.3387,103.7236,TAMAN JURONG,WEST
5268,2013,Jan,610345,-,-,349.0,393.9,JURONG WEST,1.3401,103.7208,TAMAN JURONG,WEST
5269,2013,Jan,610346,-,-,390.2,379.4,JURONG WEST,1.3404,103.7207,TAMAN JURONG,WEST
5270,2013,Jan,610347,-,-,336.4,401.1,JURONG WEST,1.3404,103.7202,TAMAN JURONG,WEST
5271,2013,Jan,610348,-,-,373.4,425.8,JURONG WEST,1.3404,103.7196,TAMAN JURONG,WEST
5272,2013,Jan,610349,-,-,347.8,375.2,JURONG WEST,1.3396,103.7191,TAMAN JURONG,WEST
5273,2013,Jan,610350,-,-,384.4,361.1,JURONG WEST,1.3386,103.7193,TAMAN JURONG,WEST
5274,2013,Jan,610351,-,-,366.7,410.1,JURONG WEST,1.3393,103.7199,TAMAN JURONG,WEST
5275,2013,Jan,610352,-,-,566.4,356.6,JURONG WEST,1.3394,103.7201,TAMAN JURONG,WEST
5276,2013,Jan,610353,-,-,355.3,403.0,JURONG WEST,1.3398,103.7208,TAMAN JURONG,WEST
5277,2013,Jan,610354,-,-,320.9,379.9,JURONG WEST,1.3395,103.7211,TAMAN JURONG,WEST
5278,2013,Jan,610355,-,-,291.3,441.8,JURONG WEST,1.3388,103.7208,TAMAN JURONG,WEST
5279,2013,Jan,610357,-,-,357.7,368.7,JURONG WEST,1.337,103.7209,TAMAN JURONG,WEST
5280,2013,Jan,610358,-,-,-,394.0,JURONG WEST,1.3367,103.7207,TAMAN JURONG,WEST
5281,2013,Jan,610359,-,-,327.5,359.0,JURONG WEST,1.3361,103.7213,TAMAN JURONG,WEST
5282,2013,Jan,610360,-,-,370.3,466.7,JURONG WEST,1.3362,103.7207,TAMAN JURONG,WEST
5283,2013,Jan,610361,-,-,379.3,421.5,JURONG WEST,1.3362,103.7207,TAMAN JURONG,WEST
5284,2013,Jan,610362,-,-,-,477.0,JURONG WEST,1.3362,103.7196,TAMAN JURONG,WEST
