index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2552,2013,Jan,520103,-,274.6,426.1,-,TAMPINES,1.3475,103.9465,TAMPINES EAST,EAST
2553,2013,Jan,520104,-,286.4,-,-,TAMPINES,1.3474,103.9466,TAMPINES EAST,EAST
2585,2013,Jan,520140,-,-,486.2,-,TAMPINES,1.3478,103.9439,TAMPINES EAST,EAST
2588,2013,Jan,520143,-,-,430.1,508.1,TAMPINES,1.348,103.9436,TAMPINES EAST,EAST
2610,2013,Jan,520202,-,322.8,434.0,-,TAMPINES,1.3527,103.9522,TAMPINES EAST,EAST
2611,2013,Jan,520203,-,351.2,497.5,-,TAMPINES,1.3525,103.9525,TAMPINES EAST,EAST
2612,2013,Jan,520204,167.1,321.2,-,-,TAMPINES,1.3521,103.9518,TAMPINES EAST,EAST
2613,2013,Jan,520205,-,341.8,403.5,-,TAMPINES,1.352,103.9521,TAMPINES EAST,EAST
2614,2013,Jan,520206,-,306.0,442.9,-,TAMPINES,1.351,103.9524,TAMPINES EAST,EAST
2615,2013,Jan,520207,-,333.3,457.7,-,TAMPINES,1.3511,103.9521,TAMPINES EAST,EAST
2616,2013,Jan,520208,-,335.0,-,-,TAMPINES,1.3514,103.9531,TAMPINES EAST,EAST
2617,2013,Jan,520209,-,305.0,567.0,-,TAMPINES,1.352,103.9521,TAMPINES EAST,EAST
2618,2013,Jan,520210,-,-,369.4,435.1,TAMPINES,1.3542,103.9537,TAMPINES EAST,EAST
2619,2013,Jan,520211,-,254.8,364.8,-,TAMPINES,1.3543,103.9547,TAMPINES EAST,EAST
2620,2013,Jan,520212,-,278.1,388.8,-,TAMPINES,1.3546,103.9542,TAMPINES EAST,EAST
2621,2013,Jan,520213,-,221.9,350.4,-,TAMPINES,1.3547,103.9542,TAMPINES EAST,EAST
2622,2013,Jan,520214,-,236.3,356.0,-,TAMPINES,1.3547,103.9534,TAMPINES EAST,EAST
2623,2013,Jan,520215,-,221.9,347.4,-,TAMPINES,1.3547,103.9533,TAMPINES EAST,EAST
2624,2013,Jan,520216,-,-,341.4,437.6,TAMPINES,1.3542,103.953,TAMPINES EAST,EAST
2625,2013,Jan,520217,-,260.0,-,-,TAMPINES,1.3543,103.952,TAMPINES EAST,EAST
2626,2013,Jan,520218,-,271.7,338.4,-,TAMPINES,1.3546,103.9525,TAMPINES EAST,EAST
2627,2013,Jan,520219,-,238.7,424.3,-,TAMPINES,1.3549,103.9526,TAMPINES EAST,EAST
2628,2013,Jan,520220,-,275.9,386.6,-,TAMPINES,1.3557,103.9518,TAMPINES EAST,EAST
2644,2013,Jan,520236,-,285.5,400.4,-,TAMPINES,1.356,103.9472,TAMPINES EAST,EAST
2645,2013,Jan,520237,-,316.1,451.1,-,TAMPINES,1.3553,103.9472,TAMPINES EAST,EAST
2646,2013,Jan,520238,-,324.1,481.6,-,TAMPINES,1.3553,103.9466,TAMPINES EAST,EAST
2647,2013,Jan,520239,-,274.1,525.6,-,TAMPINES,1.3552,103.9465,TAMPINES EAST,EAST
2648,2013,Jan,520240,-,272.1,482.9,-,TAMPINES,1.3549,103.9471,TAMPINES EAST,EAST
2649,2013,Jan,520241,-,251.1,418.4,-,TAMPINES,1.3548,103.9471,TAMPINES EAST,EAST
2656,2013,Jan,520249,-,270.1,382.4,-,TAMPINES,1.3519,103.948,TAMPINES EAST,EAST
2657,2013,Jan,520250,-,274.0,361.1,-,TAMPINES,1.3522,103.9485,TAMPINES EAST,EAST
2658,2013,Jan,520251,-,293.1,411.5,-,TAMPINES,1.3531,103.9485,TAMPINES EAST,EAST
2659,2013,Jan,520252,-,357.0,434.1,-,TAMPINES,1.3524,103.949,TAMPINES EAST,EAST
2664,2013,Jan,520257,-,-,384.4,438.0,TAMPINES,1.3539,103.9495,TAMPINES EAST,EAST
2665,2013,Jan,520258,-,331.1,330.4,-,TAMPINES,1.3548,103.9502,TAMPINES EAST,EAST
2666,2013,Jan,520259,-,316.3,436.5,-,TAMPINES,1.355,103.9501,TAMPINES EAST,EAST
2667,2013,Jan,520260,-,-,403.6,469.5,TAMPINES,1.3548,103.9501,TAMPINES EAST,EAST
2668,2013,Jan,520261,-,252.5,383.4,-,TAMPINES,1.3543,103.9514,TAMPINES EAST,EAST
2669,2013,Jan,520262,-,291.8,412.1,-,TAMPINES,1.3536,103.9506,TAMPINES EAST,EAST
2670,2013,Jan,520263,-,276.2,468.3,-,TAMPINES,1.3532,103.951,TAMPINES EAST,EAST
2671,2013,Jan,520264,-,311.9,377.8,-,TAMPINES,1.3529,103.9518,TAMPINES EAST,EAST
2672,2013,Jan,520265,-,233.5,370.7,-,TAMPINES,1.3524,103.9502,TAMPINES EAST,EAST
2673,2013,Jan,520266,-,261.9,413.8,-,TAMPINES,1.3518,103.9507,TAMPINES EAST,EAST
2674,2013,Jan,520267,-,267.2,-,-,TAMPINES,1.351,103.949,TAMPINES EAST,EAST
2675,2013,Jan,520268,-,-,476.2,484.4,TAMPINES,1.3511,103.9476,TAMPINES EAST,EAST
2676,2013,Jan,520269,-,287.6,-,-,TAMPINES,1.3506,103.9476,TAMPINES EAST,EAST
2677,2013,Jan,520270,-,285.1,404.4,-,TAMPINES,1.35,103.9486,TAMPINES EAST,EAST
2678,2013,Jan,520271,-,316.6,433.6,-,TAMPINES,1.35,103.9495,TAMPINES EAST,EAST
2679,2013,Jan,520272,-,-,434.6,-,TAMPINES,1.3491,103.9503,TAMPINES EAST,EAST
2680,2013,Jan,520273,-,351.7,400.1,-,TAMPINES,1.3486,103.9505,TAMPINES EAST,EAST
2681,2013,Jan,520274,-,339.0,434.1,-,TAMPINES,1.3482,103.95,TAMPINES EAST,EAST
2682,2013,Jan,520275,-,291.3,413.7,-,TAMPINES,1.348,103.9505,TAMPINES EAST,EAST
2683,2013,Jan,520276,-,301.8,372.7,-,TAMPINES,1.3475,103.9509,TAMPINES EAST,EAST
2684,2013,Jan,520277,-,341.5,456.6,-,TAMPINES,1.3476,103.9518,TAMPINES EAST,EAST
2685,2013,Jan,520278,-,-,455.1,537.8,TAMPINES,1.3466,103.9514,TAMPINES EAST,EAST
2686,2013,Jan,520279,-,-,441.5,497.3,TAMPINES,1.3467,103.9518,TAMPINES EAST,EAST
2687,2013,Jan,520280,-,296.8,416.2,-,TAMPINES,1.3475,103.9519,TAMPINES EAST,EAST
2688,2013,Jan,520281,-,285.0,451.2,-,TAMPINES,1.3474,103.9525,TAMPINES EAST,EAST
2689,2013,Jan,520282,-,298.9,385.9,-,TAMPINES,1.3476,103.9524,TAMPINES EAST,EAST
2690,2013,Jan,520283,-,273.0,435.0,-,TAMPINES,1.3488,103.9532,TAMPINES EAST,EAST
2691,2013,Jan,520284,-,382.0,469.7,-,TAMPINES,1.349,103.9525,TAMPINES EAST,EAST
2692,2013,Jan,520285,-,-,434.1,-,TAMPINES,1.3499,103.9528,TAMPINES EAST,EAST
2693,2013,Jan,520286,-,336.6,437.4,-,TAMPINES,1.3497,103.9531,TAMPINES EAST,EAST
2694,2013,Jan,520287,-,278.5,460.1,-,TAMPINES,1.3491,103.9542,TAMPINES EAST,EAST
2695,2013,Jan,520288,-,-,375.0,495.2,TAMPINES,1.3488,103.9544,TAMPINES EAST,EAST
2696,2013,Jan,520289,-,-,493.3,476.6,TAMPINES,1.3498,103.9552,TAMPINES EAST,EAST
2697,2013,Jan,520290,-,325.3,457.0,-,TAMPINES,1.3498,103.9547,TAMPINES EAST,EAST
2698,2013,Jan,520291,-,284.6,405.9,-,TAMPINES,1.3499,103.9552,TAMPINES EAST,EAST
2699,2013,Jan,520292,-,289.4,415.4,-,TAMPINES,1.3502,103.9556,TAMPINES EAST,EAST
2700,2013,Jan,520293,-,325.3,465.3,-,TAMPINES,1.3503,103.9549,TAMPINES EAST,EAST
2701,2013,Jan,520294,-,-,473.8,516.8,TAMPINES,1.3505,103.9541,TAMPINES EAST,EAST
2702,2013,Jan,520295,-,306.2,412.8,-,TAMPINES,1.3507,103.955,TAMPINES EAST,EAST
2703,2013,Jan,520296,-,265.4,432.5,-,TAMPINES,1.3507,103.9555,TAMPINES EAST,EAST
