index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
2890,2013,Jan,520701,-,-,432.4,531.1,TAMPINES,1.3565,103.9368,TAMPINES WEST,EAST
2891,2013,Jan,520702,-,-,431.6,427.7,TAMPINES,1.3563,103.9376,TAMPINES WEST,EAST
2892,2013,Jan,520703,-,-,371.5,493.0,TAMPINES,1.357,103.9377,TAMPINES WEST,EAST
2893,2013,Jan,520704,-,-,426.0,476.0,TAMPINES,1.3566,103.9374,TAMPINES WEST,EAST
2894,2013,Jan,520705,-,-,441.0,433.9,TAMPINES,1.3574,103.9373,TAMPINES WEST,EAST
2895,2013,Jan,520706,-,-,410.3,456.7,TAMPINES,1.3574,103.9376,TAMPINES WEST,EAST
2896,2013,Jan,520707,-,-,377.5,465.7,TAMPINES,1.3576,103.9369,TAMPINES WEST,EAST
2897,2013,Jan,520708,-,-,413.5,516.1,TAMPINES,1.3582,103.9367,TAMPINES WEST,EAST
2898,2013,Jan,520709,-,-,384.0,487.8,TAMPINES,1.3582,103.9375,TAMPINES WEST,EAST
2899,2013,Jan,520710,-,-,362.0,492.5,TAMPINES,1.3586,103.9377,TAMPINES WEST,EAST
2900,2013,Jan,520711,-,-,433.4,459.0,TAMPINES,1.3586,103.9369,TAMPINES WEST,EAST
2901,2013,Jan,520712,-,-,351.2,493.4,TAMPINES,1.3589,103.9369,TAMPINES WEST,EAST
2902,2013,Jan,520713,-,-,400.1,398.3,TAMPINES,1.3595,103.9377,TAMPINES WEST,EAST
2903,2013,Jan,520714,-,-,414.7,382.7,TAMPINES,1.3599,103.9374,TAMPINES WEST,EAST
2904,2013,Jan,520715,-,-,377.7,517.5,TAMPINES,1.3598,103.9371,TAMPINES WEST,EAST
2905,2013,Jan,520716,-,-,437.3,458.4,TAMPINES,1.3595,103.9368,TAMPINES WEST,EAST
2906,2013,Jan,520717,-,-,396.1,529.6,TAMPINES,1.359,103.935,TAMPINES WEST,EAST
2907,2013,Jan,520718,-,-,363.6,420.2,TAMPINES,1.3593,103.9356,TAMPINES WEST,EAST
2908,2013,Jan,520719,-,-,437.8,425.0,TAMPINES,1.359,103.9361,TAMPINES WEST,EAST
2909,2013,Jan,520720,-,-,442.8,415.8,TAMPINES,1.3593,103.9359,TAMPINES WEST,EAST
2910,2013,Jan,520721,-,-,459.8,458.9,TAMPINES,1.3598,103.9364,TAMPINES WEST,EAST
2911,2013,Jan,520722,-,-,350.3,532.7,TAMPINES,1.3598,103.9358,TAMPINES WEST,EAST
2912,2013,Jan,520723,-,-,426.3,499.3,TAMPINES,1.36,103.9353,TAMPINES WEST,EAST
2913,2013,Jan,520724,-,-,396.5,442.2,TAMPINES,1.357,103.935,TAMPINES WEST,EAST
2914,2013,Jan,520725,-,-,388.0,537.2,TAMPINES,1.3573,103.9353,TAMPINES WEST,EAST
2915,2013,Jan,520726,-,-,414.0,481.6,TAMPINES,1.357,103.9361,TAMPINES WEST,EAST
2916,2013,Jan,520727,-,-,443.5,472.7,TAMPINES,1.356,103.9355,TAMPINES WEST,EAST
2917,2013,Jan,520728,-,-,458.8,518.8,TAMPINES,1.356,103.9348,TAMPINES WEST,EAST
2918,2013,Jan,520729,-,-,427.1,462.5,TAMPINES,1.3563,103.934,TAMPINES WEST,EAST
2919,2013,Jan,520730,-,-,431.9,465.3,TAMPINES,1.3568,103.9334,TAMPINES WEST,EAST
2920,2013,Jan,520731,-,-,402.8,487.9,TAMPINES,1.3572,103.9337,TAMPINES WEST,EAST
