index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4989,2013,Jan,600002,-,127.1,-,-,JURONG EAST,1.3222,103.7449,TEBAN GARDENS,WEST
4990,2013,Jan,600003,-,82.5,-,-,JURONG EAST,1.3222,103.7449,TEBAN GARDENS,WEST
4991,2013,Jan,600004,-,-,-,284.0,JURONG EAST,1.3208,103.7447,TEBAN GARDENS,WEST
4992,2013,Jan,600007,-,227.4,-,-,JURONG EAST,1.3216,103.7435,TEBAN GARDENS,WEST
4993,2013,Jan,600008,-,-,92.0,-,JURONG EAST,1.3224,103.7445,TEBAN GARDENS,WEST
4994,2013,Jan,600009,-,-,162.8,-,JURONG EAST,1.3225,103.7443,TEBAN GARDENS,WEST
4995,2013,Jan,600011,-,354.6,-,-,JURONG EAST,1.3221,103.7421,TEBAN GARDENS,WEST
4996,2013,Jan,600020,-,160.5,203.7,-,JURONG EAST,1.3237,103.7388,TEBAN GARDENS,WEST
4997,2013,Jan,600021,-,-,234.5,301.2,JURONG EAST,1.3231,103.7395,TEBAN GARDENS,WEST
4998,2013,Jan,600022,-,-,270.8,283.9,JURONG EAST,1.3229,103.7399,TEBAN GARDENS,WEST
4999,2013,Jan,600023,126.5,166.9,202.5,-,JURONG EAST,1.3225,103.7393,TEBAN GARDENS,WEST
5000,2013,Jan,600024,-,-,375.1,-,JURONG EAST,1.3233,103.7378,TEBAN GARDENS,WEST
5001,2013,Jan,600025,-,-,369.5,-,JURONG EAST,1.3229,103.7377,TEBAN GARDENS,WEST
5002,2013,Jan,600030,-,-,364.2,-,JURONG EAST,1.3207,103.7391,TEBAN GARDENS,WEST
5003,2013,Jan,600031,-,-,345.6,-,JURONG EAST,1.3204,103.739,TEBAN GARDENS,WEST
5004,2013,Jan,600032,-,-,354.4,-,JURONG EAST,1.3217,103.7398,TEBAN GARDENS,WEST
5005,2013,Jan,600033,-,228.3,-,361.6,JURONG EAST,1.3205,103.7419,TEBAN GARDENS,WEST
5006,2013,Jan,600034,-,275.6,-,388.3,JURONG EAST,1.3205,103.7419,TEBAN GARDENS,WEST
5007,2013,Jan,600035,-,266.0,-,713.3,JURONG EAST,1.3197,103.7423,TEBAN GARDENS,WEST
5008,2013,Jan,600036,-,236.7,-,474.9,JURONG EAST,1.3201,103.7427,TEBAN GARDENS,WEST
5009,2013,Jan,600037,-,382.9,-,-,JURONG EAST,1.3204,103.7427,TEBAN GARDENS,WEST
5010,2013,Jan,600038,-,369.6,-,-,JURONG EAST,1.3212,103.7427,TEBAN GARDENS,WEST
5011,2013,Jan,600039,-,343.1,-,-,JURONG EAST,1.3213,103.7429,TEBAN GARDENS,WEST
5012,2013,Jan,600040,-,241.5,-,429.8,JURONG EAST,1.3216,103.7422,TEBAN GARDENS,WEST
5013,2013,Jan,600041,-,-,319.3,-,JURONG EAST,1.3218,103.741,TEBAN GARDENS,WEST
5014,2013,Jan,600043,-,247.9,349.8,-,JURONG EAST,1.321,103.7417,TEBAN GARDENS,WEST
5015,2013,Jan,600044,-,243.4,433.3,-,JURONG EAST,1.3209,103.7415,TEBAN GARDENS,WEST
5016,2013,Jan,600045,-,-,-,566.4,JURONG EAST,1.3209,103.7414,TEBAN GARDENS,WEST
5017,2013,Jan,600046,-,-,-,511.7,JURONG EAST,1.3218,103.741,TEBAN GARDENS,WEST
5018,2013,Jan,600047,-,241.3,371.3,-,JURONG EAST,1.3203,103.7398,TEBAN GARDENS,WEST
5019,2013,Jan,600048,-,223.2,338.9,-,JURONG EAST,1.3204,103.74,TEBAN GARDENS,WEST
5020,2013,Jan,600049,-,221.7,287.4,-,JURONG EAST,1.321,103.7381,TEBAN GARDENS,WEST
5021,2013,Jan,600050,-,-,-,482.9,JURONG EAST,1.3207,103.7379,TEBAN GARDENS,WEST
5022,2013,Jan,600051,-,-,-,452.9,JURONG EAST,1.3206,103.7383,TEBAN GARDENS,WEST
5023,2013,Jan,600052,-,-,349.2,355.4,JURONG EAST,1.3209,103.7375,TEBAN GARDENS,WEST
5024,2013,Jan,600053,-,-,341.7,405.4,JURONG EAST,1.3213,103.7375,TEBAN GARDENS,WEST
5025,2013,Jan,600054,-,275.8,395.2,-,JURONG EAST,1.3215,103.737,TEBAN GARDENS,WEST
5026,2013,Jan,600060,-,-,328.8,379.8,JURONG EAST,1.3224,103.739,TEBAN GARDENS,WEST
5027,2013,Jan,600062,-,-,345.1,314.6,JURONG EAST,1.3216,103.7388,TEBAN GARDENS,WEST
5028,2013,Jan,600063,-,-,324.4,389.3,JURONG EAST,1.3211,103.7394,TEBAN GARDENS,WEST
5029,2013,Jan,600064,-,-,304.9,324.1,JURONG EAST,1.3215,103.7399,TEBAN GARDENS,WEST
5030,2013,Jan,600065,-,-,340.1,365.1,JURONG EAST,1.3219,103.7393,TEBAN GARDENS,WEST
5175,2013,Jan,600401,-,-,-,360.4,JURONG EAST,1.3205,103.7503,TEBAN GARDENS,WEST
5176,2013,Jan,600402,-,-,343.4,-,JURONG EAST,1.3209,103.7495,TEBAN GARDENS,WEST
5177,2013,Jan,600403,-,-,-,382.7,JURONG EAST,1.3202,103.7494,TEBAN GARDENS,WEST
5178,2013,Jan,600404,-,-,-,378.2,JURONG EAST,1.3199,103.7493,TEBAN GARDENS,WEST
5179,2013,Jan,600405,-,-,-,327.0,JURONG EAST,1.3192,103.7495,TEBAN GARDENS,WEST
5180,2013,Jan,600406,-,-,-,363.3,JURONG EAST,1.3187,103.7492,TEBAN GARDENS,WEST
5181,2013,Jan,600407,-,-,-,386.1,JURONG EAST,1.3189,103.7487,TEBAN GARDENS,WEST
5182,2013,Jan,600408,-,-,340.4,-,JURONG EAST,1.3183,103.7488,TEBAN GARDENS,WEST
5183,2013,Jan,600409,-,-,337.9,-,JURONG EAST,1.3186,103.7474,TEBAN GARDENS,WEST
5184,2013,Jan,600410,-,229.8,-,610.0,JURONG EAST,1.3189,103.7474,TEBAN GARDENS,WEST
5185,2013,Jan,600411,-,266.1,-,513.7,JURONG EAST,1.3198,103.7468,TEBAN GARDENS,WEST
5186,2013,Jan,600412,-,254.5,-,389.0,JURONG EAST,1.3197,103.7471,TEBAN GARDENS,WEST
5187,2013,Jan,600413,-,-,-,362.2,JURONG EAST,1.3197,103.748,TEBAN GARDENS,WEST
5188,2013,Jan,600414,-,-,320.8,-,JURONG EAST,1.32,103.7472,TEBAN GARDENS,WEST
5189,2013,Jan,600415,-,328.9,-,-,JURONG EAST,1.3207,103.7482,TEBAN GARDENS,WEST
5190,2013,Jan,600416,-,246.7,-,-,JURONG EAST,1.3211,103.7483,TEBAN GARDENS,WEST
13636,2013,Feb,600004,-,-,-,168.1,JURONG EAST,1.3208,103.7447,TEBAN GARDENS,WEST
13637,2013,Feb,600008,-,-,117.7,-,JURONG EAST,1.3224,103.7445,TEBAN GARDENS,WEST
13638,2013,Feb,600009,-,-,34.7,-,JURONG EAST,1.3225,103.7443,TEBAN GARDENS,WEST
13639,2013,Feb,600011,-,122.1,-,-,JURONG EAST,1.3221,103.7421,TEBAN GARDENS,WEST
13640,2013,Feb,600020,-,196.5,271.2,-,JURONG EAST,1.3237,103.7388,TEBAN GARDENS,WEST
13641,2013,Feb,600021,-,-,273.9,355.7,JURONG EAST,1.3231,103.7395,TEBAN GARDENS,WEST
13642,2013,Feb,600022,-,-,312.7,329.2,JURONG EAST,1.3229,103.7399,TEBAN GARDENS,WEST
13643,2013,Feb,600023,154.8,201.7,243.7,-,JURONG EAST,1.3225,103.7393,TEBAN GARDENS,WEST
13644,2013,Feb,600024,-,-,349.5,-,JURONG EAST,1.3233,103.7378,TEBAN GARDENS,WEST
13645,2013,Feb,600025,-,-,343.3,-,JURONG EAST,1.3229,103.7377,TEBAN GARDENS,WEST
13646,2013,Feb,600030,-,-,405.8,-,JURONG EAST,1.3207,103.7391,TEBAN GARDENS,WEST
13647,2013,Feb,600031,-,-,364.3,-,JURONG EAST,1.3204,103.739,TEBAN GARDENS,WEST
13648,2013,Feb,600032,-,-,356.2,-,JURONG EAST,1.3217,103.7398,TEBAN GARDENS,WEST
13649,2013,Feb,600033,-,216.8,-,347.0,JURONG EAST,1.3205,103.7419,TEBAN GARDENS,WEST
13650,2013,Feb,600034,-,291.4,-,403.8,JURONG EAST,1.3205,103.7419,TEBAN GARDENS,WEST
13651,2013,Feb,600035,-,258.0,-,705.5,JURONG EAST,1.3197,103.7423,TEBAN GARDENS,WEST
13652,2013,Feb,600036,-,221.2,-,431.4,JURONG EAST,1.3201,103.7427,TEBAN GARDENS,WEST
13653,2013,Feb,600037,-,353.0,-,-,JURONG EAST,1.3204,103.7427,TEBAN GARDENS,WEST
13654,2013,Feb,600038,-,392.2,-,-,JURONG EAST,1.3212,103.7427,TEBAN GARDENS,WEST
13655,2013,Feb,600039,-,364.8,-,-,JURONG EAST,1.3213,103.7429,TEBAN GARDENS,WEST
13656,2013,Feb,600040,-,261.8,-,467.0,JURONG EAST,1.3216,103.7422,TEBAN GARDENS,WEST
13657,2013,Feb,600041,-,-,336.6,-,JURONG EAST,1.3218,103.741,TEBAN GARDENS,WEST
13658,2013,Feb,600043,-,253.2,345.2,-,JURONG EAST,1.321,103.7417,TEBAN GARDENS,WEST
13659,2013,Feb,600044,-,226.6,405.4,-,JURONG EAST,1.3209,103.7415,TEBAN GARDENS,WEST
13660,2013,Feb,600045,-,-,-,506.5,JURONG EAST,1.3209,103.7414,TEBAN GARDENS,WEST
13661,2013,Feb,600046,-,-,-,525.8,JURONG EAST,1.3218,103.741,TEBAN GARDENS,WEST
13662,2013,Feb,600047,-,272.0,459.8,-,JURONG EAST,1.3203,103.7398,TEBAN GARDENS,WEST
13663,2013,Feb,600048,-,226.4,376.6,-,JURONG EAST,1.3204,103.74,TEBAN GARDENS,WEST
13664,2013,Feb,600049,-,258.8,328.4,-,JURONG EAST,1.321,103.7381,TEBAN GARDENS,WEST
