index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6533,2013,Jan,680001,-,217.1,-,-,CHOA CHU KANG,1.3824,103.7518,TECK WHYE,WEST
6534,2013,Jan,680002,-,222.6,302.8,-,CHOA CHU KANG,1.3821,103.7518,TECK WHYE,WEST
6535,2013,Jan,680003,-,265.2,379.2,-,CHOA CHU KANG,1.3823,103.7524,TECK WHYE,WEST
6536,2013,Jan,680004,-,333.6,344.8,-,CHOA CHU KANG,1.3821,103.7529,TECK WHYE,WEST
6537,2013,Jan,680005,-,309.4,390.9,-,CHOA CHU KANG,1.382,103.7535,TECK WHYE,WEST
6538,2013,Jan,680006,-,216.3,315.2,-,CHOA CHU KANG,1.3818,103.7538,TECK WHYE,WEST
6539,2013,Jan,680007,-,-,-,351.1,CHOA CHU KANG,1.3817,103.7546,TECK WHYE,WEST
6540,2013,Jan,680008,-,-,265.2,-,CHOA CHU KANG,1.3805,103.7546,TECK WHYE,WEST
6541,2013,Jan,680009,164.2,-,-,-,CHOA CHU KANG,1.3799,103.7541,TECK WHYE,WEST
6542,2013,Jan,680010,-,209.3,-,-,CHOA CHU KANG,1.3802,103.7553,TECK WHYE,WEST
6543,2013,Jan,680011,-,-,322.5,-,CHOA CHU KANG,1.3799,103.755,TECK WHYE,WEST
6544,2013,Jan,680012,-,-,-,294.8,CHOA CHU KANG,1.3793,103.7553,TECK WHYE,WEST
6545,2013,Jan,680013,-,-,-,361.7,CHOA CHU KANG,1.3789,103.7554,TECK WHYE,WEST
6546,2013,Jan,680014,-,-,-,332.0,CHOA CHU KANG,1.3786,103.7554,TECK WHYE,WEST
6547,2013,Jan,680015,-,-,298.8,-,CHOA CHU KANG,1.379,103.7547,TECK WHYE,WEST
6548,2013,Jan,680016,-,223.6,365.5,573.7,CHOA CHU KANG,1.3788,103.755,TECK WHYE,WEST
6549,2013,Jan,680017,-,-,282.9,-,CHOA CHU KANG,1.3794,103.7539,TECK WHYE,WEST
6550,2013,Jan,680018,-,-,-,415.6,CHOA CHU KANG,1.3783,103.7537,TECK WHYE,WEST
6551,2013,Jan,680019,-,234.8,297.6,307.3,CHOA CHU KANG,1.3791,103.753,TECK WHYE,WEST
6552,2013,Jan,680020,-,-,313.1,-,CHOA CHU KANG,1.3786,103.7529,TECK WHYE,WEST
6553,2013,Jan,680025,-,-,289.4,-,CHOA CHU KANG,1.3778,103.7552,TECK WHYE,WEST
6554,2013,Jan,680026,-,274.6,337.9,-,CHOA CHU KANG,1.3777,103.7556,TECK WHYE,WEST
6555,2013,Jan,680101,-,-,-,425.3,CHOA CHU KANG,1.3777,103.7541,TECK WHYE,WEST
6556,2013,Jan,680102,-,-,347.1,424.1,CHOA CHU KANG,1.3774,103.7544,TECK WHYE,WEST
6557,2013,Jan,680103,-,-,381.5,358.6,CHOA CHU KANG,1.3773,103.7537,TECK WHYE,WEST
6558,2013,Jan,680104,-,-,342.1,380.3,CHOA CHU KANG,1.3772,103.7527,TECK WHYE,WEST
6559,2013,Jan,680105,-,287.9,347.1,-,CHOA CHU KANG,1.3775,103.7529,TECK WHYE,WEST
6560,2013,Jan,680106,-,232.2,377.1,-,CHOA CHU KANG,1.3781,103.7529,TECK WHYE,WEST
6561,2013,Jan,680107,-,-,-,476.8,CHOA CHU KANG,1.378,103.7538,TECK WHYE,WEST
6562,2013,Jan,680108,-,-,-,440.9,CHOA CHU KANG,1.3782,103.7529,TECK WHYE,WEST
6563,2013,Jan,680109,-,-,-,477.8,CHOA CHU KANG,1.3785,103.7523,TECK WHYE,WEST
