index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
96,2013,Jan,100046,-,285.3,-,-,BUKIT MERAH,1.2717,103.8099,TELOK BLANGAH DRIVE,CENTRAL
97,2013,Jan,100047,-,206.8,-,495.3,BUKIT MERAH,1.272,103.8101,TELOK BLANGAH DRIVE,CENTRAL
98,2013,Jan,100048,-,-,-,348.6,BUKIT MERAH,1.2723,103.8108,TELOK BLANGAH DRIVE,CENTRAL
99,2013,Jan,100049,-,-,-,378.1,BUKIT MERAH,1.2722,103.8109,TELOK BLANGAH DRIVE,CENTRAL
100,2013,Jan,100050,-,-,313.4,-,BUKIT MERAH,1.2728,103.8101,TELOK BLANGAH DRIVE,CENTRAL
101,2013,Jan,100051,-,-,327.5,-,BUKIT MERAH,1.2737,103.8101,TELOK BLANGAH DRIVE,CENTRAL
102,2013,Jan,100052,-,-,-,379.1,BUKIT MERAH,1.2738,103.8112,TELOK BLANGAH DRIVE,CENTRAL
103,2013,Jan,100053,-,-,-,344.3,BUKIT MERAH,1.2741,103.8115,TELOK BLANGAH DRIVE,CENTRAL
104,2013,Jan,100054,-,273.4,-,-,BUKIT MERAH,1.2738,103.8116,TELOK BLANGAH DRIVE,CENTRAL
105,2013,Jan,100055,-,255.8,-,-,BUKIT MERAH,1.2741,103.8117,TELOK BLANGAH DRIVE,CENTRAL
106,2013,Jan,100056,-,-,322.6,-,BUKIT MERAH,1.2746,103.812,TELOK BLANGAH DRIVE,CENTRAL
107,2013,Jan,100057,-,-,333.0,-,BUKIT MERAH,1.2748,103.8126,TELOK BLANGAH DRIVE,CENTRAL
108,2013,Jan,100058,-,-,288.1,-,BUKIT MERAH,1.2751,103.8135,TELOK BLANGAH DRIVE,CENTRAL
109,2013,Jan,100059,-,-,291.6,-,BUKIT MERAH,1.2752,103.8135,TELOK BLANGAH DRIVE,CENTRAL
110,2013,Jan,100060,-,231.5,327.1,484.3,BUKIT MERAH,1.2763,103.8122,TELOK BLANGAH DRIVE,CENTRAL
111,2013,Jan,100061,-,247.6,331.0,593.0,BUKIT MERAH,1.2756,103.812,TELOK BLANGAH DRIVE,CENTRAL
112,2013,Jan,100062,-,254.9,324.4,546.7,BUKIT MERAH,1.2754,103.8112,TELOK BLANGAH DRIVE,CENTRAL
113,2013,Jan,100063,-,244.9,-,-,BUKIT MERAH,1.2754,103.8112,TELOK BLANGAH DRIVE,CENTRAL
114,2013,Jan,100064,-,244.8,410.7,355.7,BUKIT MERAH,1.274,103.8114,TELOK BLANGAH DRIVE,CENTRAL
115,2013,Jan,100065,-,247.2,398.8,-,BUKIT MERAH,1.2739,103.8104,TELOK BLANGAH DRIVE,CENTRAL
116,2013,Jan,100066,-,-,-,364.7,BUKIT MERAH,1.2739,103.8096,TELOK BLANGAH DRIVE,CENTRAL
117,2013,Jan,100067,-,-,-,390.6,BUKIT MERAH,1.2746,103.8092,TELOK BLANGAH DRIVE,CENTRAL
118,2013,Jan,100068,-,-,314.1,-,BUKIT MERAH,1.2757,103.8104,TELOK BLANGAH DRIVE,CENTRAL
119,2013,Jan,100069,-,-,294.8,-,BUKIT MERAH,1.2757,103.8103,TELOK BLANGAH DRIVE,CENTRAL
120,2013,Jan,100072,-,-,-,377.3,BUKIT MERAH,1.2763,103.8094,TELOK BLANGAH DRIVE,CENTRAL
121,2013,Jan,100073,-,-,-,336.2,BUKIT MERAH,1.2758,103.809,TELOK BLANGAH DRIVE,CENTRAL
122,2013,Jan,100074,-,-,-,357.8,BUKIT MERAH,1.2755,103.8089,TELOK BLANGAH DRIVE,CENTRAL
123,2013,Jan,100075,-,248.8,364.2,600.0,BUKIT MERAH,1.2748,103.8087,TELOK BLANGAH DRIVE,CENTRAL
124,2013,Jan,100076,174.2,-,-,-,BUKIT MERAH,1.2745,103.8087,TELOK BLANGAH DRIVE,CENTRAL
125,2013,Jan,100077,-,262.6,333.2,555.3,BUKIT MERAH,1.274,103.8084,TELOK BLANGAH DRIVE,CENTRAL
126,2013,Jan,100084,-,-,-,391.2,BUKIT MERAH,1.2766,103.8098,TELOK BLANGAH DRIVE,CENTRAL
127,2013,Jan,100085,-,-,345.3,298.9,BUKIT MERAH,1.2773,103.809,TELOK BLANGAH DRIVE,CENTRAL
128,2013,Jan,100086,-,-,325.1,297.0,BUKIT MERAH,1.2767,103.8086,TELOK BLANGAH DRIVE,CENTRAL
129,2013,Jan,100087,-,-,336.7,339.9,BUKIT MERAH,1.277,103.808,TELOK BLANGAH DRIVE,CENTRAL
130,2013,Jan,100088,-,-,295.1,337.4,BUKIT MERAH,1.2775,103.8081,TELOK BLANGAH DRIVE,CENTRAL
133,2013,Jan,101080,-,-,255.3,-,BUKIT MERAH,1.2738,103.8063,TELOK BLANGAH DRIVE,CENTRAL
140,2013,Jan,102080,93.0,209.4,-,-,BUKIT MERAH,1.2742,103.8072,TELOK BLANGAH DRIVE,CENTRAL
147,2013,Jan,103080,-,224.3,301.2,-,BUKIT MERAH,1.2742,103.8072,TELOK BLANGAH DRIVE,CENTRAL
