index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
49,2013,Jan,90003,128.7,-,-,-,BUKIT MERAH,1.2787,103.8175,TELOK BLANGAH WAY,CENTRAL
50,2013,Jan,90004,124.1,-,-,-,BUKIT MERAH,1.2785,103.8185,TELOK BLANGAH WAY,CENTRAL
51,2013,Jan,90005,-,314.4,-,607.2,BUKIT MERAH,1.2786,103.8189,TELOK BLANGAH WAY,CENTRAL
52,2013,Jan,90013,-,334.1,-,692.0,BUKIT MERAH,1.278,103.82,TELOK BLANGAH WAY,CENTRAL
53,2013,Jan,90014,-,-,449.1,512.4,BUKIT MERAH,1.2773,103.8204,TELOK BLANGAH WAY,CENTRAL
54,2013,Jan,90015,-,307.3,-,365.5,BUKIT MERAH,1.2772,103.8207,TELOK BLANGAH WAY,CENTRAL
55,2013,Jan,90016,-,308.0,-,546.3,BUKIT MERAH,1.278,103.8215,TELOK BLANGAH WAY,CENTRAL
56,2013,Jan,90017,-,-,442.0,430.3,BUKIT MERAH,1.2778,103.822,TELOK BLANGAH WAY,CENTRAL
57,2013,Jan,90018,-,319.5,-,718.0,BUKIT MERAH,1.2778,103.8226,TELOK BLANGAH WAY,CENTRAL
58,2013,Jan,90019,123.5,-,-,-,BUKIT MERAH,1.2777,103.8226,TELOK BLANGAH WAY,CENTRAL
59,2013,Jan,90020,-,286.6,-,627.8,BUKIT MERAH,1.2771,103.8218,TELOK BLANGAH WAY,CENTRAL
60,2013,Jan,90021,-,318.8,-,677.5,BUKIT MERAH,1.277,103.8213,TELOK BLANGAH WAY,CENTRAL
61,2013,Jan,90022,-,248.1,-,657.1,BUKIT MERAH,1.2767,103.8198,TELOK BLANGAH WAY,CENTRAL
62,2013,Jan,90023,-,-,355.9,-,BUKIT MERAH,1.2756,103.8207,TELOK BLANGAH WAY,CENTRAL
63,2013,Jan,90024,-,-,370.2,-,BUKIT MERAH,1.2755,103.8207,TELOK BLANGAH WAY,CENTRAL
64,2013,Jan,90025,-,-,-,380.9,BUKIT MERAH,1.2765,103.8192,TELOK BLANGAH WAY,CENTRAL
65,2013,Jan,90026,-,-,-,535.6,BUKIT MERAH,1.2767,103.819,TELOK BLANGAH WAY,CENTRAL
94,2013,Jan,91014,-,-,431.7,500.4,BUKIT MERAH,1.2779,103.821,TELOK BLANGAH WAY,CENTRAL
95,2013,Jan,91017,-,-,362.4,442.4,BUKIT MERAH,1.2772,103.8212,TELOK BLANGAH WAY,CENTRAL
8691,2013,Feb,90003,118.3,-,-,-,BUKIT MERAH,1.2787,103.8175,TELOK BLANGAH WAY,CENTRAL
8692,2013,Feb,90004,102.5,-,-,-,BUKIT MERAH,1.2785,103.8185,TELOK BLANGAH WAY,CENTRAL
8693,2013,Feb,90005,-,272.3,-,522.6,BUKIT MERAH,1.2786,103.8189,TELOK BLANGAH WAY,CENTRAL
8694,2013,Feb,90006,-,258.6,-,463.8,BUKIT MERAH,1.2783,103.8184,TELOK BLANGAH WAY,CENTRAL
8695,2013,Feb,90013,-,267.4,-,527.9,BUKIT MERAH,1.278,103.82,TELOK BLANGAH WAY,CENTRAL
8696,2013,Feb,90014,-,-,347.8,404.7,BUKIT MERAH,1.2773,103.8204,TELOK BLANGAH WAY,CENTRAL
8697,2013,Feb,90015,-,277.0,-,459.5,BUKIT MERAH,1.2772,103.8207,TELOK BLANGAH WAY,CENTRAL
8698,2013,Feb,90016,-,254.0,-,416.8,BUKIT MERAH,1.278,103.8215,TELOK BLANGAH WAY,CENTRAL
8699,2013,Feb,90017,-,-,305.8,300.7,BUKIT MERAH,1.2778,103.822,TELOK BLANGAH WAY,CENTRAL
8700,2013,Feb,90018,-,245.7,-,549.1,BUKIT MERAH,1.2778,103.8226,TELOK BLANGAH WAY,CENTRAL
8701,2013,Feb,90019,117.8,-,-,-,BUKIT MERAH,1.2777,103.8226,TELOK BLANGAH WAY,CENTRAL
8702,2013,Feb,90020,-,243.9,-,491.0,BUKIT MERAH,1.2771,103.8218,TELOK BLANGAH WAY,CENTRAL
8703,2013,Feb,90021,-,267.8,-,599.5,BUKIT MERAH,1.277,103.8213,TELOK BLANGAH WAY,CENTRAL
8704,2013,Feb,90022,-,214.3,-,505.7,BUKIT MERAH,1.2767,103.8198,TELOK BLANGAH WAY,CENTRAL
8705,2013,Feb,90023,-,-,316.4,-,BUKIT MERAH,1.2756,103.8207,TELOK BLANGAH WAY,CENTRAL
8706,2013,Feb,90024,-,-,316.3,-,BUKIT MERAH,1.2755,103.8207,TELOK BLANGAH WAY,CENTRAL
8707,2013,Feb,90025,-,-,-,347.4,BUKIT MERAH,1.2765,103.8192,TELOK BLANGAH WAY,CENTRAL
8708,2013,Feb,90026,-,-,-,433.1,BUKIT MERAH,1.2767,103.819,TELOK BLANGAH WAY,CENTRAL
8737,2013,Feb,91014,-,-,322.5,377.1,BUKIT MERAH,1.2779,103.821,TELOK BLANGAH WAY,CENTRAL
8738,2013,Feb,91017,-,-,288.5,366.2,BUKIT MERAH,1.2772,103.8212,TELOK BLANGAH WAY,CENTRAL
17324,2013,Mar,90003,112.7,-,-,-,BUKIT MERAH,1.2787,103.8175,TELOK BLANGAH WAY,CENTRAL
17325,2013,Mar,90004,100.7,-,-,-,BUKIT MERAH,1.2785,103.8185,TELOK BLANGAH WAY,CENTRAL
17326,2013,Mar,90005,-,261.5,-,502.2,BUKIT MERAH,1.2786,103.8189,TELOK BLANGAH WAY,CENTRAL
17327,2013,Mar,90006,-,251.2,-,557.5,BUKIT MERAH,1.2783,103.8184,TELOK BLANGAH WAY,CENTRAL
17328,2013,Mar,90013,-,267.3,-,565.3,BUKIT MERAH,1.278,103.82,TELOK BLANGAH WAY,CENTRAL
17329,2013,Mar,90014,-,-,354.2,407.6,BUKIT MERAH,1.2773,103.8204,TELOK BLANGAH WAY,CENTRAL
17330,2013,Mar,90015,-,257.6,-,366.8,BUKIT MERAH,1.2772,103.8207,TELOK BLANGAH WAY,CENTRAL
17331,2013,Mar,90016,-,252.1,-,428.0,BUKIT MERAH,1.278,103.8215,TELOK BLANGAH WAY,CENTRAL
17332,2013,Mar,90017,-,-,331.1,326.4,BUKIT MERAH,1.2778,103.822,TELOK BLANGAH WAY,CENTRAL
17333,2013,Mar,90018,-,246.9,-,563.1,BUKIT MERAH,1.2778,103.8226,TELOK BLANGAH WAY,CENTRAL
17334,2013,Mar,90019,107.5,-,-,-,BUKIT MERAH,1.2777,103.8226,TELOK BLANGAH WAY,CENTRAL
17335,2013,Mar,90020,-,238.3,-,497.4,BUKIT MERAH,1.2771,103.8218,TELOK BLANGAH WAY,CENTRAL
17336,2013,Mar,90021,-,258.6,-,567.8,BUKIT MERAH,1.277,103.8213,TELOK BLANGAH WAY,CENTRAL
17337,2013,Mar,90022,-,204.6,-,517.0,BUKIT MERAH,1.2767,103.8198,TELOK BLANGAH WAY,CENTRAL
17338,2013,Mar,90023,-,-,295.7,-,BUKIT MERAH,1.2756,103.8207,TELOK BLANGAH WAY,CENTRAL
17339,2013,Mar,90024,-,-,309.8,-,BUKIT MERAH,1.2755,103.8207,TELOK BLANGAH WAY,CENTRAL
17340,2013,Mar,90025,-,-,-,323.5,BUKIT MERAH,1.2765,103.8192,TELOK BLANGAH WAY,CENTRAL
17341,2013,Mar,90026,-,-,-,422.2,BUKIT MERAH,1.2767,103.819,TELOK BLANGAH WAY,CENTRAL
17371,2013,Mar,91014,-,-,335.0,392.3,BUKIT MERAH,1.2779,103.821,TELOK BLANGAH WAY,CENTRAL
17372,2013,Mar,91017,-,-,283.9,349.0,BUKIT MERAH,1.2772,103.8212,TELOK BLANGAH WAY,CENTRAL
25972,2013,Apr,90003,125.9,-,-,-,BUKIT MERAH,1.2787,103.8175,TELOK BLANGAH WAY,CENTRAL
25973,2013,Apr,90004,119.8,-,-,-,BUKIT MERAH,1.2785,103.8185,TELOK BLANGAH WAY,CENTRAL
25974,2013,Apr,90005,-,297.3,-,608.0,BUKIT MERAH,1.2786,103.8189,TELOK BLANGAH WAY,CENTRAL
25975,2013,Apr,90006,-,295.4,-,714.5,BUKIT MERAH,1.2783,103.8184,TELOK BLANGAH WAY,CENTRAL
25976,2013,Apr,90013,-,325.7,-,563.3,BUKIT MERAH,1.278,103.82,TELOK BLANGAH WAY,CENTRAL
25977,2013,Apr,90014,-,-,438.4,502.2,BUKIT MERAH,1.2773,103.8204,TELOK BLANGAH WAY,CENTRAL
25978,2013,Apr,90015,-,285.8,-,406.0,BUKIT MERAH,1.2772,103.8207,TELOK BLANGAH WAY,CENTRAL
25979,2013,Apr,90016,-,290.2,-,600.5,BUKIT MERAH,1.278,103.8215,TELOK BLANGAH WAY,CENTRAL
25980,2013,Apr,90017,-,-,444.3,418.6,BUKIT MERAH,1.2778,103.822,TELOK BLANGAH WAY,CENTRAL
25981,2013,Apr,90018,-,302.6,-,734.9,BUKIT MERAH,1.2778,103.8226,TELOK BLANGAH WAY,CENTRAL
25982,2013,Apr,90019,117.7,-,-,-,BUKIT MERAH,1.2777,103.8226,TELOK BLANGAH WAY,CENTRAL
25983,2013,Apr,90020,-,272.8,-,564.2,BUKIT MERAH,1.2771,103.8218,TELOK BLANGAH WAY,CENTRAL
25984,2013,Apr,90021,-,294.7,-,852.8,BUKIT MERAH,1.277,103.8213,TELOK BLANGAH WAY,CENTRAL
25985,2013,Apr,90022,-,233.5,-,566.1,BUKIT MERAH,1.2767,103.8198,TELOK BLANGAH WAY,CENTRAL
25986,2013,Apr,90023,-,-,333.1,-,BUKIT MERAH,1.2756,103.8207,TELOK BLANGAH WAY,CENTRAL
25987,2013,Apr,90024,-,-,353.1,-,BUKIT MERAH,1.2755,103.8207,TELOK BLANGAH WAY,CENTRAL
25988,2013,Apr,90025,-,-,-,367.5,BUKIT MERAH,1.2765,103.8192,TELOK BLANGAH WAY,CENTRAL
25989,2013,Apr,90026,-,-,-,475.1,BUKIT MERAH,1.2767,103.819,TELOK BLANGAH WAY,CENTRAL
26019,2013,Apr,91014,-,-,427.5,514.3,BUKIT MERAH,1.2779,103.821,TELOK BLANGAH WAY,CENTRAL
26020,2013,Apr,91017,-,-,356.2,477.2,BUKIT MERAH,1.2772,103.8212,TELOK BLANGAH WAY,CENTRAL
34663,2013,May,90003,129.2,-,-,-,BUKIT MERAH,1.2787,103.8175,TELOK BLANGAH WAY,CENTRAL
34664,2013,May,90004,117.6,-,-,-,BUKIT MERAH,1.2785,103.8185,TELOK BLANGAH WAY,CENTRAL
34665,2013,May,90005,-,297.6,-,593.2,BUKIT MERAH,1.2786,103.8189,TELOK BLANGAH WAY,CENTRAL
34666,2013,May,90006,-,291.6,-,680.0,BUKIT MERAH,1.2783,103.8184,TELOK BLANGAH WAY,CENTRAL
34667,2013,May,90013,-,314.0,-,636.7,BUKIT MERAH,1.278,103.82,TELOK BLANGAH WAY,CENTRAL
34668,2013,May,90014,-,-,423.6,481.8,BUKIT MERAH,1.2773,103.8204,TELOK BLANGAH WAY,CENTRAL
34669,2013,May,90015,-,289.3,-,413.0,BUKIT MERAH,1.2772,103.8207,TELOK BLANGAH WAY,CENTRAL
34670,2013,May,90016,-,289.1,-,544.3,BUKIT MERAH,1.278,103.8215,TELOK BLANGAH WAY,CENTRAL
34671,2013,May,90017,-,-,429.4,391.2,BUKIT MERAH,1.2778,103.822,TELOK BLANGAH WAY,CENTRAL
34672,2013,May,90018,-,298.0,-,693.9,BUKIT MERAH,1.2778,103.8226,TELOK BLANGAH WAY,CENTRAL
34673,2013,May,90019,121.6,-,-,-,BUKIT MERAH,1.2777,103.8226,TELOK BLANGAH WAY,CENTRAL
34674,2013,May,90020,-,269.4,-,567.4,BUKIT MERAH,1.2771,103.8218,TELOK BLANGAH WAY,CENTRAL
34675,2013,May,90021,-,297.0,-,759.3,BUKIT MERAH,1.277,103.8213,TELOK BLANGAH WAY,CENTRAL
34676,2013,May,90022,-,239.9,-,578.9,BUKIT MERAH,1.2767,103.8198,TELOK BLANGAH WAY,CENTRAL
34677,2013,May,90023,-,-,341.5,-,BUKIT MERAH,1.2756,103.8207,TELOK BLANGAH WAY,CENTRAL
34678,2013,May,90024,-,-,356.7,-,BUKIT MERAH,1.2755,103.8207,TELOK BLANGAH WAY,CENTRAL
34679,2013,May,90025,-,-,-,368.0,BUKIT MERAH,1.2765,103.8192,TELOK BLANGAH WAY,CENTRAL
34680,2013,May,90026,-,-,-,472.9,BUKIT MERAH,1.2767,103.819,TELOK BLANGAH WAY,CENTRAL
34710,2013,May,91014,-,-,404.8,491.0,BUKIT MERAH,1.2779,103.821,TELOK BLANGAH WAY,CENTRAL
