index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
627,2013,Jan,160027,-,422.9,-,-,BUKIT MERAH,1.2853,103.8308,TIONG BAHRU,CENTRAL
632,2013,Jan,160035,-,382.4,-,-,BUKIT MERAH,1.2852,103.831,TIONG BAHRU,CENTRAL
634,2013,Jan,160037,-,292.3,-,-,BUKIT MERAH,1.2852,103.8305,TIONG BAHRU,CENTRAL
637,2013,Jan,160041,-,297.0,-,-,BUKIT MERAH,1.2847,103.8318,TIONG BAHRU,CENTRAL
639,2013,Jan,160043,-,317.5,-,-,BUKIT MERAH,1.2839,103.8308,TIONG BAHRU,CENTRAL
641,2013,Jan,160045,-,279.5,-,-,BUKIT MERAH,1.2843,103.8318,TIONG BAHRU,CENTRAL
644,2013,Jan,160049,-,381.8,-,-,BUKIT MERAH,1.2843,103.8302,TIONG BAHRU,CENTRAL
649,2013,Jan,160055,-,-,575.9,-,BUKIT MERAH,1.2846,103.8343,TIONG BAHRU,CENTRAL
650,2013,Jan,160056,-,590.7,541.3,-,BUKIT MERAH,1.2842,103.8338,TIONG BAHRU,CENTRAL
651,2013,Jan,160057,-,590.2,437.6,-,BUKIT MERAH,1.2848,103.8333,TIONG BAHRU,CENTRAL
652,2013,Jan,160064,-,578.8,-,-,BUKIT MERAH,1.2837,103.8338,TIONG BAHRU,CENTRAL
653,2013,Jan,160065,-,638.1,-,-,BUKIT MERAH,1.2833,103.8334,TIONG BAHRU,CENTRAL
654,2013,Jan,160072,-,588.1,-,-,BUKIT MERAH,1.2839,103.8319,TIONG BAHRU,CENTRAL
655,2013,Jan,160074,-,507.1,-,-,BUKIT MERAH,1.2829,103.8329,TIONG BAHRU,CENTRAL
656,2013,Jan,160075,-,209.0,-,-,BUKIT MERAH,1.2825,103.8324,TIONG BAHRU,CENTRAL
658,2013,Jan,160079,266.8,552.7,582.3,-,BUKIT MERAH,1.2825,103.8309,TIONG BAHRU,CENTRAL
659,2013,Jan,160080,261.9,426.1,602.8,-,BUKIT MERAH,1.283,103.8312,TIONG BAHRU,CENTRAL
660,2013,Jan,160081,-,-,482.1,-,BUKIT MERAH,1.2826,103.8327,TIONG BAHRU,CENTRAL
661,2013,Jan,160082,-,-,527.4,-,BUKIT MERAH,1.2833,103.8335,TIONG BAHRU,CENTRAL
681,2013,Jan,160128,-,-,385.6,-,BUKIT MERAH,1.2817,103.8291,TIONG BAHRU,CENTRAL
682,2013,Jan,160129,-,-,422.3,-,BUKIT MERAH,1.2811,103.8288,TIONG BAHRU,CENTRAL
683,2013,Jan,160131,-,300.2,-,735.3,BUKIT MERAH,1.2803,103.8284,TIONG BAHRU,CENTRAL
707,2013,Jan,161017,-,308.7,223.5,-,BUKIT MERAH,1.2852,103.8333,TIONG BAHRU,CENTRAL
708,2013,Jan,161019,-,420.3,-,-,BUKIT MERAH,1.2854,103.8326,TIONG BAHRU,CENTRAL
709,2013,Jan,161021,-,371.4,-,-,BUKIT MERAH,1.2853,103.8321,TIONG BAHRU,CENTRAL
710,2013,Jan,161023,-,387.9,-,-,BUKIT MERAH,1.2853,103.8317,TIONG BAHRU,CENTRAL
711,2013,Jan,161025,-,404.5,-,-,BUKIT MERAH,1.2853,103.8313,TIONG BAHRU,CENTRAL
712,2013,Jan,161029,-,312.5,-,-,BUKIT MERAH,1.2853,103.8304,TIONG BAHRU,CENTRAL
714,2013,Jan,161034,-,306.3,-,-,BUKIT MERAH,1.2849,103.8318,TIONG BAHRU,CENTRAL
715,2013,Jan,161036,-,366.8,-,-,BUKIT MERAH,1.2839,103.8308,TIONG BAHRU,CENTRAL
716,2013,Jan,161038,-,318.9,-,-,BUKIT MERAH,1.2848,103.8302,TIONG BAHRU,CENTRAL
717,2013,Jan,161042,-,332.2,-,-,BUKIT MERAH,1.2844,103.8318,TIONG BAHRU,CENTRAL
718,2013,Jan,161046,-,424.6,-,-,BUKIT MERAH,1.2839,103.8316,TIONG BAHRU,CENTRAL
719,2013,Jan,161048,205.0,253.6,-,-,BUKIT MERAH,1.2838,103.8309,TIONG BAHRU,CENTRAL
727,2013,Jan,161077,-,437.7,-,-,BUKIT MERAH,1.2836,103.8314,TIONG BAHRU,CENTRAL
733,2013,Jan,161126,-,-,331.4,380.5,BUKIT MERAH,1.283,103.8296,TIONG BAHRU,CENTRAL
734,2013,Jan,161127,138.9,241.2,312.5,-,BUKIT MERAH,1.2821,103.8295,TIONG BAHRU,CENTRAL
745,2013,Jan,162078,-,-,599.7,-,BUKIT MERAH,1.2835,103.8304,TIONG BAHRU,CENTRAL
748,2013,Jan,162131,-,-,352.7,475.0,BUKIT MERAH,1.281,103.8283,TIONG BAHRU,CENTRAL
755,2013,Jan,163017,-,313.8,304.8,-,BUKIT MERAH,1.2858,103.8331,TIONG BAHRU,CENTRAL
756,2013,Jan,163018,-,336.5,-,-,BUKIT MERAH,1.286,103.8326,TIONG BAHRU,CENTRAL
758,2013,Jan,163020,-,399.3,-,-,BUKIT MERAH,1.286,103.8321,TIONG BAHRU,CENTRAL
762,2013,Jan,163028,-,242.8,-,-,BUKIT MERAH,1.2859,103.8304,TIONG BAHRU,CENTRAL
765,2013,Jan,163126,-,215.2,327.7,-,BUKIT MERAH,1.2823,103.8291,TIONG BAHRU,CENTRAL
766,2013,Jan,163127,106.6,209.1,198.6,-,BUKIT MERAH,1.2817,103.8301,TIONG BAHRU,CENTRAL
767,2013,Jan,163131,-,-,364.3,403.2,BUKIT MERAH,1.2807,103.829,TIONG BAHRU,CENTRAL
768,2013,Jan,164002,-,-,390.1,-,BUKIT MERAH,1.2865,103.833,TIONG BAHRU,CENTRAL
769,2013,Jan,164004,-,-,-,478.4,BUKIT MERAH,1.2865,103.8324,TIONG BAHRU,CENTRAL
770,2013,Jan,164006,-,-,445.1,423.0,BUKIT MERAH,1.2868,103.8316,TIONG BAHRU,CENTRAL
771,2013,Jan,164008,-,-,425.4,489.5,BUKIT MERAH,1.2866,103.8299,TIONG BAHRU,CENTRAL
773,2013,Jan,164024,-,220.2,-,-,BUKIT MERAH,1.2859,103.8312,TIONG BAHRU,CENTRAL
775,2013,Jan,164026,-,310.9,-,-,BUKIT MERAH,1.2859,103.8308,TIONG BAHRU,CENTRAL
779,2013,Jan,164127,-,-,272.5,385.8,BUKIT MERAH,1.2813,103.8301,TIONG BAHRU,CENTRAL
780,2013,Jan,165004,-,-,419.5,454.4,BUKIT MERAH,1.2867,103.8317,TIONG BAHRU,CENTRAL
781,2013,Jan,165006,-,-,413.9,429.5,BUKIT MERAH,1.2866,103.8305,TIONG BAHRU,CENTRAL
782,2013,Jan,165008,-,-,386.6,564.1,BUKIT MERAH,1.2869,103.8306,TIONG BAHRU,CENTRAL
783,2013,Jan,165022,-,339.3,-,-,BUKIT MERAH,1.2859,103.8317,TIONG BAHRU,CENTRAL
785,2013,Jan,166002,-,-,-,437.7,BUKIT MERAH,1.2868,103.833,TIONG BAHRU,CENTRAL
9276,2013,Feb,160027,-,331.7,-,-,BUKIT MERAH,1.2853,103.8308,TIONG BAHRU,CENTRAL
9281,2013,Feb,160035,-,253.1,-,-,BUKIT MERAH,1.2852,103.831,TIONG BAHRU,CENTRAL
9283,2013,Feb,160037,-,203.4,-,-,BUKIT MERAH,1.2852,103.8305,TIONG BAHRU,CENTRAL
9286,2013,Feb,160041,-,248.7,-,-,BUKIT MERAH,1.2847,103.8318,TIONG BAHRU,CENTRAL
9288,2013,Feb,160043,-,314.4,-,-,BUKIT MERAH,1.2839,103.8308,TIONG BAHRU,CENTRAL
9290,2013,Feb,160045,-,204.7,-,-,BUKIT MERAH,1.2843,103.8318,TIONG BAHRU,CENTRAL
9293,2013,Feb,160049,-,252.9,-,-,BUKIT MERAH,1.2843,103.8302,TIONG BAHRU,CENTRAL
9298,2013,Feb,160055,-,-,665.3,-,BUKIT MERAH,1.2846,103.8343,TIONG BAHRU,CENTRAL
9299,2013,Feb,160056,-,415.1,459.8,-,BUKIT MERAH,1.2842,103.8338,TIONG BAHRU,CENTRAL
9300,2013,Feb,160057,-,622.5,425.1,-,BUKIT MERAH,1.2848,103.8333,TIONG BAHRU,CENTRAL
9301,2013,Feb,160058,-,-,327.9,423.7,BUKIT MERAH,1.2847,103.8328,TIONG BAHRU,CENTRAL
9302,2013,Feb,160064,-,487.3,-,-,BUKIT MERAH,1.2837,103.8338,TIONG BAHRU,CENTRAL
9303,2013,Feb,160065,-,524.3,-,-,BUKIT MERAH,1.2833,103.8334,TIONG BAHRU,CENTRAL
9304,2013,Feb,160072,-,416.2,-,-,BUKIT MERAH,1.2839,103.8319,TIONG BAHRU,CENTRAL
9305,2013,Feb,160073,-,352.5,412.6,-,BUKIT MERAH,1.2836,103.8324,TIONG BAHRU,CENTRAL
9306,2013,Feb,160074,-,493.4,-,-,BUKIT MERAH,1.2829,103.8329,TIONG BAHRU,CENTRAL
9307,2013,Feb,160075,-,303.0,-,-,BUKIT MERAH,1.2825,103.8324,TIONG BAHRU,CENTRAL
9308,2013,Feb,160076,-,310.8,327.0,-,BUKIT MERAH,1.2829,103.8318,TIONG BAHRU,CENTRAL
9310,2013,Feb,160079,165.9,354.6,365.0,-,BUKIT MERAH,1.2825,103.8309,TIONG BAHRU,CENTRAL
9311,2013,Feb,160080,217.5,299.8,355.8,-,BUKIT MERAH,1.283,103.8312,TIONG BAHRU,CENTRAL
9312,2013,Feb,160081,-,-,400.7,-,BUKIT MERAH,1.2826,103.8327,TIONG BAHRU,CENTRAL
9313,2013,Feb,160082,-,-,344.4,-,BUKIT MERAH,1.2833,103.8335,TIONG BAHRU,CENTRAL
9334,2013,Feb,160128,-,-,263.5,-,BUKIT MERAH,1.2817,103.8291,TIONG BAHRU,CENTRAL
9335,2013,Feb,160129,-,-,292.5,-,BUKIT MERAH,1.2811,103.8288,TIONG BAHRU,CENTRAL
9359,2013,Feb,161017,-,280.3,319.8,-,BUKIT MERAH,1.2852,103.8333,TIONG BAHRU,CENTRAL
9360,2013,Feb,161019,-,293.6,-,-,BUKIT MERAH,1.2854,103.8326,TIONG BAHRU,CENTRAL
9361,2013,Feb,161021,-,245.5,-,-,BUKIT MERAH,1.2853,103.8321,TIONG BAHRU,CENTRAL
9362,2013,Feb,161023,-,268.8,-,-,BUKIT MERAH,1.2853,103.8317,TIONG BAHRU,CENTRAL
9363,2013,Feb,161025,-,265.6,-,-,BUKIT MERAH,1.2853,103.8313,TIONG BAHRU,CENTRAL
9364,2013,Feb,161029,-,217.1,-,-,BUKIT MERAH,1.2853,103.8304,TIONG BAHRU,CENTRAL
9366,2013,Feb,161034,-,196.2,-,-,BUKIT MERAH,1.2849,103.8318,TIONG BAHRU,CENTRAL
9367,2013,Feb,161036,-,302.0,-,-,BUKIT MERAH,1.2839,103.8308,TIONG BAHRU,CENTRAL
9368,2013,Feb,161038,-,193.6,-,-,BUKIT MERAH,1.2848,103.8302,TIONG BAHRU,CENTRAL
9369,2013,Feb,161042,-,217.3,-,-,BUKIT MERAH,1.2844,103.8318,TIONG BAHRU,CENTRAL
9370,2013,Feb,161044,151.3,258.8,-,-,BUKIT MERAH,1.2839,103.8308,TIONG BAHRU,CENTRAL
9371,2013,Feb,161046,-,321.6,-,-,BUKIT MERAH,1.2839,103.8316,TIONG BAHRU,CENTRAL
9372,2013,Feb,161048,153.1,224.6,-,-,BUKIT MERAH,1.2838,103.8309,TIONG BAHRU,CENTRAL
9380,2013,Feb,161077,-,326.1,-,-,BUKIT MERAH,1.2836,103.8314,TIONG BAHRU,CENTRAL
9386,2013,Feb,161126,-,-,252.0,307.4,BUKIT MERAH,1.283,103.8296,TIONG BAHRU,CENTRAL
9387,2013,Feb,161127,111.2,185.1,243.5,-,BUKIT MERAH,1.2821,103.8295,TIONG BAHRU,CENTRAL
9398,2013,Feb,162078,206.8,268.1,401.8,-,BUKIT MERAH,1.2835,103.8304,TIONG BAHRU,CENTRAL
9401,2013,Feb,162131,-,-,250.6,368.3,BUKIT MERAH,1.281,103.8283,TIONG BAHRU,CENTRAL
9408,2013,Feb,163017,-,290.2,329.0,-,BUKIT MERAH,1.2858,103.8331,TIONG BAHRU,CENTRAL
