index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
622,2013,Jan,160007,-,-,-,427.1,BUKIT MERAH,1.2838,103.8275,TIONG BAHRU STATION,CENTRAL
672,2013,Jan,160115,159.3,192.3,-,-,BUKIT MERAH,1.2812,103.8265,TIONG BAHRU STATION,CENTRAL
673,2013,Jan,160116,173.5,175.3,-,-,BUKIT MERAH,1.2816,103.8263,TIONG BAHRU STATION,CENTRAL
674,2013,Jan,160117,194.6,200.0,-,-,BUKIT MERAH,1.2813,103.8266,TIONG BAHRU STATION,CENTRAL
675,2013,Jan,160120,-,-,427.4,402.5,BUKIT MERAH,1.2828,103.8279,TIONG BAHRU STATION,CENTRAL
676,2013,Jan,160121,-,-,394.1,468.2,BUKIT MERAH,1.2826,103.8285,TIONG BAHRU STATION,CENTRAL
677,2013,Jan,160122,-,-,-,539.2,BUKIT MERAH,1.2833,103.8288,TIONG BAHRU STATION,CENTRAL
678,2013,Jan,160123,-,-,438.6,433.0,BUKIT MERAH,1.2837,103.829,TIONG BAHRU STATION,CENTRAL
679,2013,Jan,160124,125.3,-,-,-,BUKIT MERAH,1.2839,103.8282,TIONG BAHRU STATION,CENTRAL
680,2013,Jan,160125,-,-,432.6,563.7,BUKIT MERAH,1.2837,103.8283,TIONG BAHRU STATION,CENTRAL
730,2013,Jan,161118,-,-,365.1,-,BUKIT MERAH,1.2816,103.8254,TIONG BAHRU STATION,CENTRAL
731,2013,Jan,161120,-,-,383.2,452.5,BUKIT MERAH,1.2831,103.8278,TIONG BAHRU STATION,CENTRAL
732,2013,Jan,161121,-,-,399.2,391.0,BUKIT MERAH,1.2825,103.8281,TIONG BAHRU STATION,CENTRAL
743,2013,Jan,162025,-,-,455.4,445.5,BUKIT MERAH,1.2835,103.8263,TIONG BAHRU STATION,CENTRAL
744,2013,Jan,162026,207.4,264.2,-,-,BUKIT MERAH,1.283,103.8262,TIONG BAHRU STATION,CENTRAL
746,2013,Jan,162118,-,-,453.9,459.9,BUKIT MERAH,1.2819999999999998,103.8261,TIONG BAHRU STATION,CENTRAL
747,2013,Jan,162119,-,-,391.1,462.5,BUKIT MERAH,1.2809,103.8273,TIONG BAHRU STATION,CENTRAL
751,2013,Jan,163006,-,-,485.9,481.6,BUKIT MERAH,1.2852,103.8294,TIONG BAHRU STATION,CENTRAL
752,2013,Jan,163008,-,-,-,484.8,BUKIT MERAH,1.2829,103.8275,TIONG BAHRU STATION,CENTRAL
757,2013,Jan,163019,-,-,390.1,496.2,BUKIT MERAH,1.2857,103.8262,TIONG BAHRU STATION,CENTRAL
759,2013,Jan,163021,-,-,361.6,-,BUKIT MERAH,1.2852,103.8255,TIONG BAHRU STATION,CENTRAL
760,2013,Jan,163023,-,-,384.7,494.4,BUKIT MERAH,1.2846,103.8267,TIONG BAHRU STATION,CENTRAL
761,2013,Jan,163027,-,-,421.0,-,BUKIT MERAH,1.2822,103.8248,TIONG BAHRU STATION,CENTRAL
763,2013,Jan,163118,-,-,347.9,409.4,BUKIT MERAH,1.2822,103.8261,TIONG BAHRU STATION,CENTRAL
764,2013,Jan,163119,-,-,403.0,441.0,BUKIT MERAH,1.2816,103.8278,TIONG BAHRU STATION,CENTRAL
772,2013,Jan,164020,-,-,421.7,469.3,BUKIT MERAH,1.2857,103.8259,TIONG BAHRU STATION,CENTRAL
774,2013,Jan,164025,-,-,443.3,501.1,BUKIT MERAH,1.2834,103.8255,TIONG BAHRU STATION,CENTRAL
776,2013,Jan,164027,-,-,408.9,469.7,BUKIT MERAH,1.2829,103.825,TIONG BAHRU STATION,CENTRAL
777,2013,Jan,164118,-,-,383.7,-,BUKIT MERAH,1.2825,103.8269,TIONG BAHRU STATION,CENTRAL
778,2013,Jan,164119,-,-,366.2,415.7,BUKIT MERAH,1.2821,103.828,TIONG BAHRU STATION,CENTRAL
784,2013,Jan,165026,173.8,236.4,378.3,-,BUKIT MERAH,1.2833,103.8255,TIONG BAHRU STATION,CENTRAL
786,2013,Jan,166022,-,-,336.8,443.6,BUKIT MERAH,1.2847,103.8265,TIONG BAHRU STATION,CENTRAL
787,2013,Jan,166026,-,263.0,390.7,-,BUKIT MERAH,1.2829,103.8251,TIONG BAHRU STATION,CENTRAL
788,2013,Jan,167026,-,266.3,409.9,-,BUKIT MERAH,1.2821,103.8249,TIONG BAHRU STATION,CENTRAL
9271,2013,Feb,160007,-,-,-,314.4,BUKIT MERAH,1.2838,103.8275,TIONG BAHRU STATION,CENTRAL
9325,2013,Feb,160115,134.3,146.1,-,-,BUKIT MERAH,1.2812,103.8265,TIONG BAHRU STATION,CENTRAL
9326,2013,Feb,160116,137.5,146.5,-,-,BUKIT MERAH,1.2816,103.8263,TIONG BAHRU STATION,CENTRAL
9327,2013,Feb,160117,166.4,148.7,-,-,BUKIT MERAH,1.2813,103.8266,TIONG BAHRU STATION,CENTRAL
9328,2013,Feb,160120,-,-,321.3,289.6,BUKIT MERAH,1.2828,103.8279,TIONG BAHRU STATION,CENTRAL
9329,2013,Feb,160121,-,-,267.7,337.6,BUKIT MERAH,1.2826,103.8285,TIONG BAHRU STATION,CENTRAL
9330,2013,Feb,160122,-,-,-,348.1,BUKIT MERAH,1.2833,103.8288,TIONG BAHRU STATION,CENTRAL
9331,2013,Feb,160123,-,-,301.0,275.7,BUKIT MERAH,1.2837,103.829,TIONG BAHRU STATION,CENTRAL
9332,2013,Feb,160124,85.8,-,-,-,BUKIT MERAH,1.2839,103.8282,TIONG BAHRU STATION,CENTRAL
9333,2013,Feb,160125,-,-,296.8,404.0,BUKIT MERAH,1.2837,103.8283,TIONG BAHRU STATION,CENTRAL
9383,2013,Feb,161118,-,-,272.1,-,BUKIT MERAH,1.2816,103.8254,TIONG BAHRU STATION,CENTRAL
9384,2013,Feb,161120,-,-,278.6,303.9,BUKIT MERAH,1.2831,103.8278,TIONG BAHRU STATION,CENTRAL
9385,2013,Feb,161121,-,-,288.2,289.4,BUKIT MERAH,1.2825,103.8281,TIONG BAHRU STATION,CENTRAL
9396,2013,Feb,162025,-,-,299.7,303.7,BUKIT MERAH,1.2835,103.8263,TIONG BAHRU STATION,CENTRAL
9397,2013,Feb,162026,154.0,152.5,-,-,BUKIT MERAH,1.283,103.8262,TIONG BAHRU STATION,CENTRAL
9399,2013,Feb,162118,-,-,317.8,376.0,BUKIT MERAH,1.2819999999999998,103.8261,TIONG BAHRU STATION,CENTRAL
9400,2013,Feb,162119,-,-,259.9,329.8,BUKIT MERAH,1.2809,103.8273,TIONG BAHRU STATION,CENTRAL
9404,2013,Feb,163006,-,-,332.7,384.9,BUKIT MERAH,1.2852,103.8294,TIONG BAHRU STATION,CENTRAL
9405,2013,Feb,163008,-,-,-,320.1,BUKIT MERAH,1.2829,103.8275,TIONG BAHRU STATION,CENTRAL
9410,2013,Feb,163019,-,-,240.5,327.2,BUKIT MERAH,1.2857,103.8262,TIONG BAHRU STATION,CENTRAL
9412,2013,Feb,163021,-,-,260.2,-,BUKIT MERAH,1.2852,103.8255,TIONG BAHRU STATION,CENTRAL
9413,2013,Feb,163023,-,-,286.2,357.0,BUKIT MERAH,1.2846,103.8267,TIONG BAHRU STATION,CENTRAL
9414,2013,Feb,163027,-,-,306.5,-,BUKIT MERAH,1.2822,103.8248,TIONG BAHRU STATION,CENTRAL
9417,2013,Feb,163118,-,-,258.5,295.4,BUKIT MERAH,1.2822,103.8261,TIONG BAHRU STATION,CENTRAL
9418,2013,Feb,163119,-,-,303.5,338.2,BUKIT MERAH,1.2816,103.8278,TIONG BAHRU STATION,CENTRAL
9426,2013,Feb,164020,-,-,277.8,313.7,BUKIT MERAH,1.2857,103.8259,TIONG BAHRU STATION,CENTRAL
9428,2013,Feb,164025,-,-,308.0,325.0,BUKIT MERAH,1.2834,103.8255,TIONG BAHRU STATION,CENTRAL
9430,2013,Feb,164027,-,-,284.0,329.9,BUKIT MERAH,1.2829,103.825,TIONG BAHRU STATION,CENTRAL
9431,2013,Feb,164118,-,-,284.0,-,BUKIT MERAH,1.2825,103.8269,TIONG BAHRU STATION,CENTRAL
9432,2013,Feb,164119,-,-,278.4,321.8,BUKIT MERAH,1.2821,103.828,TIONG BAHRU STATION,CENTRAL
9438,2013,Feb,165026,130.5,188.0,269.7,-,BUKIT MERAH,1.2833,103.8255,TIONG BAHRU STATION,CENTRAL
9440,2013,Feb,166022,-,-,250.9,294.4,BUKIT MERAH,1.2847,103.8265,TIONG BAHRU STATION,CENTRAL
9441,2013,Feb,166026,-,190.6,279.7,-,BUKIT MERAH,1.2829,103.8251,TIONG BAHRU STATION,CENTRAL
9442,2013,Feb,167026,-,204.5,332.1,-,BUKIT MERAH,1.2821,103.8249,TIONG BAHRU STATION,CENTRAL
17903,2013,Mar,160007,-,-,-,374.0,BUKIT MERAH,1.2838,103.8275,TIONG BAHRU STATION,CENTRAL
17954,2013,Mar,160115,148.6,168.0,-,-,BUKIT MERAH,1.2812,103.8265,TIONG BAHRU STATION,CENTRAL
17955,2013,Mar,160116,153.2,161.1,-,-,BUKIT MERAH,1.2816,103.8263,TIONG BAHRU STATION,CENTRAL
17956,2013,Mar,160117,178.6,180.1,-,-,BUKIT MERAH,1.2813,103.8266,TIONG BAHRU STATION,CENTRAL
17957,2013,Mar,160120,-,-,379.9,352.2,BUKIT MERAH,1.2828,103.8279,TIONG BAHRU STATION,CENTRAL
17958,2013,Mar,160121,-,-,328.5,409.6,BUKIT MERAH,1.2826,103.8285,TIONG BAHRU STATION,CENTRAL
17959,2013,Mar,160122,-,-,-,450.5,BUKIT MERAH,1.2833,103.8288,TIONG BAHRU STATION,CENTRAL
17960,2013,Mar,160123,-,-,375.8,370.8,BUKIT MERAH,1.2837,103.829,TIONG BAHRU STATION,CENTRAL
17961,2013,Mar,160124,106.8,-,-,-,BUKIT MERAH,1.2839,103.8282,TIONG BAHRU STATION,CENTRAL
17962,2013,Mar,160125,-,-,373.2,502.2,BUKIT MERAH,1.2837,103.8283,TIONG BAHRU STATION,CENTRAL
18012,2013,Mar,161118,-,-,325.1,-,BUKIT MERAH,1.2816,103.8254,TIONG BAHRU STATION,CENTRAL
18013,2013,Mar,161120,-,-,335.1,384.3,BUKIT MERAH,1.2831,103.8278,TIONG BAHRU STATION,CENTRAL
18014,2013,Mar,161121,-,-,349.2,332.3,BUKIT MERAH,1.2825,103.8281,TIONG BAHRU STATION,CENTRAL
18025,2013,Mar,162025,-,-,382.2,386.0,BUKIT MERAH,1.2835,103.8263,TIONG BAHRU STATION,CENTRAL
18026,2013,Mar,162026,187.5,211.9,-,-,BUKIT MERAH,1.283,103.8262,TIONG BAHRU STATION,CENTRAL
18028,2013,Mar,162118,-,-,383.7,427.2,BUKIT MERAH,1.2819999999999998,103.8261,TIONG BAHRU STATION,CENTRAL
18029,2013,Mar,162119,-,-,332.5,402.4,BUKIT MERAH,1.2809,103.8273,TIONG BAHRU STATION,CENTRAL
18033,2013,Mar,163006,-,-,415.2,439.2,BUKIT MERAH,1.2852,103.8294,TIONG BAHRU STATION,CENTRAL
18034,2013,Mar,163008,-,-,-,405.5,BUKIT MERAH,1.2829,103.8275,TIONG BAHRU STATION,CENTRAL
18039,2013,Mar,163019,-,-,318.6,413.0,BUKIT MERAH,1.2857,103.8262,TIONG BAHRU STATION,CENTRAL
18041,2013,Mar,163021,-,-,317.1,-,BUKIT MERAH,1.2852,103.8255,TIONG BAHRU STATION,CENTRAL
18042,2013,Mar,163023,-,-,340.8,443.6,BUKIT MERAH,1.2846,103.8267,TIONG BAHRU STATION,CENTRAL
18043,2013,Mar,163027,-,-,378.5,-,BUKIT MERAH,1.2822,103.8248,TIONG BAHRU STATION,CENTRAL
18046,2013,Mar,163118,-,-,297.8,358.2,BUKIT MERAH,1.2822,103.8261,TIONG BAHRU STATION,CENTRAL
18047,2013,Mar,163119,-,-,361.7,397.3,BUKIT MERAH,1.2816,103.8278,TIONG BAHRU STATION,CENTRAL
18055,2013,Mar,164020,-,-,348.8,416.6,BUKIT MERAH,1.2857,103.8259,TIONG BAHRU STATION,CENTRAL
18057,2013,Mar,164025,-,-,374.2,419.6,BUKIT MERAH,1.2834,103.8255,TIONG BAHRU STATION,CENTRAL
18059,2013,Mar,164027,-,-,341.8,405.8,BUKIT MERAH,1.2829,103.825,TIONG BAHRU STATION,CENTRAL
18060,2013,Mar,164118,-,-,338.6,-,BUKIT MERAH,1.2825,103.8269,TIONG BAHRU STATION,CENTRAL
18061,2013,Mar,164119,-,-,327.9,377.3,BUKIT MERAH,1.2821,103.828,TIONG BAHRU STATION,CENTRAL
18067,2013,Mar,165026,154.6,228.2,322.8,-,BUKIT MERAH,1.2833,103.8255,TIONG BAHRU STATION,CENTRAL
18069,2013,Mar,166022,-,-,289.9,378.9,BUKIT MERAH,1.2847,103.8265,TIONG BAHRU STATION,CENTRAL
18070,2013,Mar,166026,-,230.5,341.2,-,BUKIT MERAH,1.2829,103.8251,TIONG BAHRU STATION,CENTRAL
18071,2013,Mar,167026,-,238.6,378.0,-,BUKIT MERAH,1.2821,103.8249,TIONG BAHRU STATION,CENTRAL
26554,2013,Apr,160007,-,-,-,414.2,BUKIT MERAH,1.2838,103.8275,TIONG BAHRU STATION,CENTRAL
26609,2013,Apr,160115,171.0,202.2,-,-,BUKIT MERAH,1.2812,103.8265,TIONG BAHRU STATION,CENTRAL
26610,2013,Apr,160116,162.9,168.3,-,-,BUKIT MERAH,1.2816,103.8263,TIONG BAHRU STATION,CENTRAL
26611,2013,Apr,160117,187.2,197.2,-,-,BUKIT MERAH,1.2813,103.8266,TIONG BAHRU STATION,CENTRAL
26612,2013,Apr,160120,-,-,351.5,319.0,BUKIT MERAH,1.2828,103.8279,TIONG BAHRU STATION,CENTRAL
26613,2013,Apr,160121,-,-,312.3,443.5,BUKIT MERAH,1.2826,103.8285,TIONG BAHRU STATION,CENTRAL
26614,2013,Apr,160122,-,-,-,488.3,BUKIT MERAH,1.2833,103.8288,TIONG BAHRU STATION,CENTRAL
26615,2013,Apr,160123,-,-,388.6,406.2,BUKIT MERAH,1.2837,103.829,TIONG BAHRU STATION,CENTRAL
26616,2013,Apr,160124,109.1,-,-,-,BUKIT MERAH,1.2839,103.8282,TIONG BAHRU STATION,CENTRAL
26617,2013,Apr,160125,-,-,419.4,505.9,BUKIT MERAH,1.2837,103.8283,TIONG BAHRU STATION,CENTRAL
26667,2013,Apr,161118,-,-,368.1,-,BUKIT MERAH,1.2816,103.8254,TIONG BAHRU STATION,CENTRAL
26668,2013,Apr,161120,-,-,314.3,384.1,BUKIT MERAH,1.2831,103.8278,TIONG BAHRU STATION,CENTRAL
26669,2013,Apr,161121,-,-,388.5,358.6,BUKIT MERAH,1.2825,103.8281,TIONG BAHRU STATION,CENTRAL
26680,2013,Apr,162025,-,-,435.8,417.7,BUKIT MERAH,1.2835,103.8263,TIONG BAHRU STATION,CENTRAL
26681,2013,Apr,162026,202.8,220.5,-,-,BUKIT MERAH,1.283,103.8262,TIONG BAHRU STATION,CENTRAL
26683,2013,Apr,162118,-,-,430.4,455.4,BUKIT MERAH,1.2819999999999998,103.8261,TIONG BAHRU STATION,CENTRAL
26684,2013,Apr,162119,-,-,361.7,424.3,BUKIT MERAH,1.2809,103.8273,TIONG BAHRU STATION,CENTRAL
26688,2013,Apr,163006,-,-,440.2,476.7,BUKIT MERAH,1.2852,103.8294,TIONG BAHRU STATION,CENTRAL
26689,2013,Apr,163008,-,-,-,459.4,BUKIT MERAH,1.2829,103.8275,TIONG BAHRU STATION,CENTRAL
26694,2013,Apr,163019,-,-,347.9,449.3,BUKIT MERAH,1.2857,103.8262,TIONG BAHRU STATION,CENTRAL
26696,2013,Apr,163021,-,-,337.5,-,BUKIT MERAH,1.2852,103.8255,TIONG BAHRU STATION,CENTRAL
