index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1015,2013,Jan,310107,-,265.0,-,-,TOA PAYOH,1.3412,103.8473,TOA PAYOH WEST,CENTRAL
1016,2013,Jan,310109,-,254.6,-,-,TOA PAYOH,1.3411,103.8463,TOA PAYOH WEST,CENTRAL
1017,2013,Jan,310111,-,314.7,-,712.3,TOA PAYOH,1.3411,103.8455,TOA PAYOH WEST,CENTRAL
1018,2013,Jan,310113,-,283.4,-,-,TOA PAYOH,1.3412,103.8446,TOA PAYOH WEST,CENTRAL
1019,2013,Jan,310114,-,289.2,-,-,TOA PAYOH,1.3411,103.8443,TOA PAYOH WEST,CENTRAL
1020,2013,Jan,310115,-,277.8,-,-,TOA PAYOH,1.3406,103.8443,TOA PAYOH WEST,CENTRAL
1021,2013,Jan,310116,-,231.0,-,-,TOA PAYOH,1.3404,103.8461,TOA PAYOH WEST,CENTRAL
1022,2013,Jan,310117,-,265.3,-,371.8,TOA PAYOH,1.3404,103.845,TOA PAYOH WEST,CENTRAL
1023,2013,Jan,310119,-,292.5,-,441.7,TOA PAYOH,1.3393,103.8446,TOA PAYOH WEST,CENTRAL
1024,2013,Jan,310120,131.7,-,-,-,TOA PAYOH,1.3394,103.8451,TOA PAYOH WEST,CENTRAL
1025,2013,Jan,310121,-,-,319.0,345.5,TOA PAYOH,1.3392,103.8461,TOA PAYOH WEST,CENTRAL
1026,2013,Jan,310122,-,-,307.1,366.1,TOA PAYOH,1.3398,103.8461,TOA PAYOH WEST,CENTRAL
1027,2013,Jan,310123,-,303.1,-,-,TOA PAYOH,1.3386,103.8457,TOA PAYOH WEST,CENTRAL
1028,2013,Jan,310125,-,291.9,-,-,TOA PAYOH,1.338,103.8458,TOA PAYOH WEST,CENTRAL
1029,2013,Jan,310128,-,283.2,-,-,TOA PAYOH,1.3381,103.8439,TOA PAYOH WEST,CENTRAL
1068,2013,Jan,310207,-,234.4,-,730.3,TOA PAYOH,1.3425,103.8453,TOA PAYOH WEST,CENTRAL
1069,2013,Jan,310208,-,-,291.2,-,TOA PAYOH,1.3425,103.8454,TOA PAYOH WEST,CENTRAL
1070,2013,Jan,310209,-,-,292.1,-,TOA PAYOH,1.3419,103.8447,TOA PAYOH WEST,CENTRAL
9671,2013,Feb,310107,-,225.3,-,-,TOA PAYOH,1.3412,103.8473,TOA PAYOH WEST,CENTRAL
9672,2013,Feb,310109,-,203.2,-,-,TOA PAYOH,1.3411,103.8463,TOA PAYOH WEST,CENTRAL
9673,2013,Feb,310111,-,275.5,-,534.0,TOA PAYOH,1.3411,103.8455,TOA PAYOH WEST,CENTRAL
9674,2013,Feb,310113,-,269.2,-,-,TOA PAYOH,1.3412,103.8446,TOA PAYOH WEST,CENTRAL
9675,2013,Feb,310114,-,243.7,-,-,TOA PAYOH,1.3411,103.8443,TOA PAYOH WEST,CENTRAL
9676,2013,Feb,310115,-,245.1,-,-,TOA PAYOH,1.3406,103.8443,TOA PAYOH WEST,CENTRAL
9677,2013,Feb,310116,-,243.4,-,-,TOA PAYOH,1.3404,103.8461,TOA PAYOH WEST,CENTRAL
9678,2013,Feb,310117,-,221.7,-,275.8,TOA PAYOH,1.3404,103.845,TOA PAYOH WEST,CENTRAL
9679,2013,Feb,310119,-,244.1,-,364.0,TOA PAYOH,1.3393,103.8446,TOA PAYOH WEST,CENTRAL
9680,2013,Feb,310120,134.4,-,-,-,TOA PAYOH,1.3394,103.8451,TOA PAYOH WEST,CENTRAL
9681,2013,Feb,310121,-,-,329.7,367.1,TOA PAYOH,1.3392,103.8461,TOA PAYOH WEST,CENTRAL
9682,2013,Feb,310122,-,-,317.7,411.6,TOA PAYOH,1.3398,103.8461,TOA PAYOH WEST,CENTRAL
9683,2013,Feb,310123,-,255.7,-,-,TOA PAYOH,1.3386,103.8457,TOA PAYOH WEST,CENTRAL
9684,2013,Feb,310125,-,262.8,-,-,TOA PAYOH,1.338,103.8458,TOA PAYOH WEST,CENTRAL
9685,2013,Feb,310128,-,228.5,-,-,TOA PAYOH,1.3381,103.8439,TOA PAYOH WEST,CENTRAL
9724,2013,Feb,310208,-,-,311.9,-,TOA PAYOH,1.3425,103.8454,TOA PAYOH WEST,CENTRAL
9725,2013,Feb,310209,-,-,327.9,-,TOA PAYOH,1.3419,103.8447,TOA PAYOH WEST,CENTRAL
18299,2013,Mar,310107,-,252.5,-,-,TOA PAYOH,1.3412,103.8473,TOA PAYOH WEST,CENTRAL
18300,2013,Mar,310109,-,239.9,-,-,TOA PAYOH,1.3411,103.8463,TOA PAYOH WEST,CENTRAL
18301,2013,Mar,310111,-,294.4,-,623.3,TOA PAYOH,1.3411,103.8455,TOA PAYOH WEST,CENTRAL
18302,2013,Mar,310113,-,274.1,-,-,TOA PAYOH,1.3412,103.8446,TOA PAYOH WEST,CENTRAL
18303,2013,Mar,310114,-,263.6,-,-,TOA PAYOH,1.3411,103.8443,TOA PAYOH WEST,CENTRAL
18304,2013,Mar,310115,-,259.3,-,-,TOA PAYOH,1.3406,103.8443,TOA PAYOH WEST,CENTRAL
18305,2013,Mar,310116,-,228.9,-,-,TOA PAYOH,1.3404,103.8461,TOA PAYOH WEST,CENTRAL
18306,2013,Mar,310117,-,241.1,-,324.0,TOA PAYOH,1.3404,103.845,TOA PAYOH WEST,CENTRAL
18307,2013,Mar,310119,-,261.7,-,402.7,TOA PAYOH,1.3393,103.8446,TOA PAYOH WEST,CENTRAL
18308,2013,Mar,310120,124.2,-,-,-,TOA PAYOH,1.3394,103.8451,TOA PAYOH WEST,CENTRAL
18309,2013,Mar,310121,-,-,334.2,417.9,TOA PAYOH,1.3392,103.8461,TOA PAYOH WEST,CENTRAL
18310,2013,Mar,310122,-,-,338.2,429.5,TOA PAYOH,1.3398,103.8461,TOA PAYOH WEST,CENTRAL
18311,2013,Mar,310123,-,275.1,-,-,TOA PAYOH,1.3386,103.8457,TOA PAYOH WEST,CENTRAL
18312,2013,Mar,310125,-,278.0,-,-,TOA PAYOH,1.338,103.8458,TOA PAYOH WEST,CENTRAL
18313,2013,Mar,310128,-,256.7,-,-,TOA PAYOH,1.3381,103.8439,TOA PAYOH WEST,CENTRAL
18352,2013,Mar,310207,-,218.9,-,524.8,TOA PAYOH,1.3425,103.8453,TOA PAYOH WEST,CENTRAL
18353,2013,Mar,310208,-,-,271.2,-,TOA PAYOH,1.3425,103.8454,TOA PAYOH WEST,CENTRAL
18354,2013,Mar,310209,-,-,309.0,-,TOA PAYOH,1.3419,103.8447,TOA PAYOH WEST,CENTRAL
26953,2013,Apr,310107,-,290.2,-,-,TOA PAYOH,1.3412,103.8473,TOA PAYOH WEST,CENTRAL
26954,2013,Apr,310109,-,299.0,-,-,TOA PAYOH,1.3411,103.8463,TOA PAYOH WEST,CENTRAL
26955,2013,Apr,310113,-,294.5,-,-,TOA PAYOH,1.3412,103.8446,TOA PAYOH WEST,CENTRAL
26956,2013,Apr,310114,-,307.0,-,-,TOA PAYOH,1.3411,103.8443,TOA PAYOH WEST,CENTRAL
26957,2013,Apr,310115,-,309.2,-,-,TOA PAYOH,1.3406,103.8443,TOA PAYOH WEST,CENTRAL
26958,2013,Apr,310116,-,254.1,-,-,TOA PAYOH,1.3404,103.8461,TOA PAYOH WEST,CENTRAL
26959,2013,Apr,310117,-,309.7,-,368.0,TOA PAYOH,1.3404,103.845,TOA PAYOH WEST,CENTRAL
26960,2013,Apr,310119,-,315.7,-,603.7,TOA PAYOH,1.3393,103.8446,TOA PAYOH WEST,CENTRAL
26961,2013,Apr,310120,138.7,-,-,-,TOA PAYOH,1.3394,103.8451,TOA PAYOH WEST,CENTRAL
26962,2013,Apr,310121,-,-,402.7,484.6,TOA PAYOH,1.3392,103.8461,TOA PAYOH WEST,CENTRAL
26963,2013,Apr,310122,-,-,384.4,503.4,TOA PAYOH,1.3398,103.8461,TOA PAYOH WEST,CENTRAL
26964,2013,Apr,310123,-,356.4,-,-,TOA PAYOH,1.3386,103.8457,TOA PAYOH WEST,CENTRAL
26965,2013,Apr,310125,-,342.0,-,-,TOA PAYOH,1.338,103.8458,TOA PAYOH WEST,CENTRAL
26966,2013,Apr,310128,-,318.3,-,-,TOA PAYOH,1.3381,103.8439,TOA PAYOH WEST,CENTRAL
27005,2013,Apr,310207,-,249.4,-,674.0,TOA PAYOH,1.3425,103.8453,TOA PAYOH WEST,CENTRAL
27006,2013,Apr,310208,-,-,306.4,-,TOA PAYOH,1.3425,103.8454,TOA PAYOH WEST,CENTRAL
27007,2013,Apr,310209,-,-,336.3,-,TOA PAYOH,1.3419,103.8447,TOA PAYOH WEST,CENTRAL
35643,2013,May,310107,-,269.3,-,-,TOA PAYOH,1.3412,103.8473,TOA PAYOH WEST,CENTRAL
35644,2013,May,310109,-,263.5,-,-,TOA PAYOH,1.3411,103.8463,TOA PAYOH WEST,CENTRAL
35645,2013,May,310111,-,303.0,-,742.7,TOA PAYOH,1.3411,103.8455,TOA PAYOH WEST,CENTRAL
35646,2013,May,310113,-,280.0,-,-,TOA PAYOH,1.3412,103.8446,TOA PAYOH WEST,CENTRAL
35647,2013,May,310114,-,280.2,-,-,TOA PAYOH,1.3411,103.8443,TOA PAYOH WEST,CENTRAL
35648,2013,May,310115,-,278.5,-,-,TOA PAYOH,1.3406,103.8443,TOA PAYOH WEST,CENTRAL
35649,2013,May,310116,-,317.3,-,-,TOA PAYOH,1.3404,103.8461,TOA PAYOH WEST,CENTRAL
35650,2013,May,310117,-,267.3,-,340.3,TOA PAYOH,1.3404,103.845,TOA PAYOH WEST,CENTRAL
35651,2013,May,310119,-,292.4,-,479.7,TOA PAYOH,1.3393,103.8446,TOA PAYOH WEST,CENTRAL
35652,2013,May,310120,169.6,-,-,-,TOA PAYOH,1.3394,103.8451,TOA PAYOH WEST,CENTRAL
35653,2013,May,310121,-,-,365.7,434.3,TOA PAYOH,1.3392,103.8461,TOA PAYOH WEST,CENTRAL
35654,2013,May,310122,-,-,369.9,470.4,TOA PAYOH,1.3398,103.8461,TOA PAYOH WEST,CENTRAL
35655,2013,May,310123,-,311.8,-,-,TOA PAYOH,1.3386,103.8457,TOA PAYOH WEST,CENTRAL
35656,2013,May,310125,-,301.7,-,-,TOA PAYOH,1.338,103.8458,TOA PAYOH WEST,CENTRAL
35657,2013,May,310128,-,276.0,-,-,TOA PAYOH,1.3381,103.8439,TOA PAYOH WEST,CENTRAL
35696,2013,May,310208,-,-,390.4,-,TOA PAYOH,1.3425,103.8454,TOA PAYOH WEST,CENTRAL
35697,2013,May,310209,-,-,418.6,-,TOA PAYOH,1.3419,103.8447,TOA PAYOH WEST,CENTRAL
44226,2013,Jun,310107,-,302.9,-,-,TOA PAYOH,1.3412,103.8473,TOA PAYOH WEST,CENTRAL
44227,2013,Jun,310109,-,296.1,-,-,TOA PAYOH,1.3411,103.8463,TOA PAYOH WEST,CENTRAL
44228,2013,Jun,310111,-,354.2,-,898.7,TOA PAYOH,1.3411,103.8455,TOA PAYOH WEST,CENTRAL
44229,2013,Jun,310113,-,329.6,-,-,TOA PAYOH,1.3412,103.8446,TOA PAYOH WEST,CENTRAL
44230,2013,Jun,310114,-,320.4,-,-,TOA PAYOH,1.3411,103.8443,TOA PAYOH WEST,CENTRAL
44231,2013,Jun,310115,-,311.3,-,-,TOA PAYOH,1.3406,103.8443,TOA PAYOH WEST,CENTRAL
44232,2013,Jun,310116,-,288.2,-,-,TOA PAYOH,1.3404,103.8461,TOA PAYOH WEST,CENTRAL
44233,2013,Jun,310117,-,299.9,-,532.3,TOA PAYOH,1.3404,103.845,TOA PAYOH WEST,CENTRAL
44234,2013,Jun,310119,-,328.0,-,484.3,TOA PAYOH,1.3393,103.8446,TOA PAYOH WEST,CENTRAL
44235,2013,Jun,310120,158.7,-,-,-,TOA PAYOH,1.3394,103.8451,TOA PAYOH WEST,CENTRAL
44236,2013,Jun,310121,-,-,388.0,492.1,TOA PAYOH,1.3392,103.8461,TOA PAYOH WEST,CENTRAL
44237,2013,Jun,310122,-,-,370.2,484.5,TOA PAYOH,1.3398,103.8461,TOA PAYOH WEST,CENTRAL
44238,2013,Jun,310123,-,342.8,-,-,TOA PAYOH,1.3386,103.8457,TOA PAYOH WEST,CENTRAL
