index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
892,2013,Jan,260005,-,-,-,445.3,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
893,2013,Jan,260006,-,515.3,411.7,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
9548,2013,Feb,260005,-,-,-,404.7,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
9549,2013,Feb,260006,-,260.6,355.8,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
18177,2013,Mar,260005,-,-,-,402.9,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
18178,2013,Mar,260006,-,315.4,359.4,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
26831,2013,Apr,260005,-,-,-,477.5,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
26832,2013,Apr,260006,-,343.6,447.8,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
35521,2013,May,260005,-,-,-,447.8,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
35522,2013,May,260006,-,291.4,401.2,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
44105,2013,Jun,260005,-,-,-,498.0,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
44106,2013,Jun,260006,-,312.9,387.7,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
52781,2013,Jul,260005,-,-,-,489.3,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
52782,2013,Jul,260006,-,291.2,399.3,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
61463,2013,Aug,260005,-,-,-,500.9,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
61464,2013,Aug,260006,-,361.6,420.5,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
70125,2013,Sep,260005,-,-,-,491.1,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
70126,2013,Sep,260006,-,352.4,415.8,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
78814,2013,Oct,260005,-,-,-,451.3,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
78815,2013,Oct,260006,-,392.3,405.2,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
87485,2013,Nov,260005,-,-,-,453.3,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
87486,2013,Nov,260006,-,355.3,394.1,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
96182,2013,Dec,260005,-,-,-,357.8,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
96183,2013,Dec,260006,-,249.9,361.7,-,TANGLIN,1.3175,103.8079,TYERSALL,CENTRAL
104890,2014,Jan,260005,-,-,-,403.1,TANGLIN,1.3168,103.8071,TYERSALL,CENTRAL
