index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4740,2013,Jan,570022,-,268.6,-,478.6,BISHAN,1.3577,103.839,UPPER THOMSON,CENTRAL
4741,2013,Jan,570024,-,249.3,-,-,BISHAN,1.3549,103.8366,UPPER THOMSON,CENTRAL
4742,2013,Jan,570025,-,-,319.1,-,BISHAN,1.355,103.8381,UPPER THOMSON,CENTRAL
4743,2013,Jan,570026,115.2,-,-,-,BISHAN,1.356,103.8403,UPPER THOMSON,CENTRAL
4923,2013,Jan,570301,-,-,-,483.3,BISHAN,1.3495,103.8388,UPPER THOMSON,CENTRAL
4924,2013,Jan,570302,-,291.7,331.1,-,BISHAN,1.3496,103.839,UPPER THOMSON,CENTRAL
4925,2013,Jan,570303,-,-,350.0,446.4,BISHAN,1.3497,103.8387,UPPER THOMSON,CENTRAL
4926,2013,Jan,570304,-,249.8,-,-,BISHAN,1.3503,103.8381,UPPER THOMSON,CENTRAL
4927,2013,Jan,570305,-,200.1,-,-,BISHAN,1.3502,103.8387,UPPER THOMSON,CENTRAL
4928,2013,Jan,570306,-,280.5,532.4,-,BISHAN,1.3513,103.8394,UPPER THOMSON,CENTRAL
4929,2013,Jan,570307,-,213.7,287.8,-,BISHAN,1.3506,103.8387,UPPER THOMSON,CENTRAL
4930,2013,Jan,570308,-,262.2,-,-,BISHAN,1.3506,103.8375,UPPER THOMSON,CENTRAL
4931,2013,Jan,570309,-,238.3,-,-,BISHAN,1.3508,103.8378,UPPER THOMSON,CENTRAL
4932,2013,Jan,570310,-,-,293.8,393.5,BISHAN,1.3507,103.8386,UPPER THOMSON,CENTRAL
4933,2013,Jan,570311,-,244.6,401.1,-,BISHAN,1.3513,103.8394,UPPER THOMSON,CENTRAL
4934,2013,Jan,570312,-,-,437.4,430.4,BISHAN,1.3511,103.8388,UPPER THOMSON,CENTRAL
4935,2013,Jan,570313,-,212.6,363.2,-,BISHAN,1.3515,103.8371,UPPER THOMSON,CENTRAL
4936,2013,Jan,570315,-,-,-,372.6,BISHAN,1.352,103.8386,UPPER THOMSON,CENTRAL
4937,2013,Jan,570319,-,-,-,493.0,BISHAN,1.3530000000000002,103.8399,UPPER THOMSON,CENTRAL
4938,2013,Jan,570401,-,-,-,618.6,BISHAN,1.3626,103.8331,UPPER THOMSON,CENTRAL
4939,2013,Jan,570402,-,-,-,390.0,BISHAN,1.3626,103.8328,UPPER THOMSON,CENTRAL
4940,2013,Jan,570403,-,270.5,349.6,-,BISHAN,1.3627,103.8331,UPPER THOMSON,CENTRAL
4941,2013,Jan,570404,-,-,-,608.4,BISHAN,1.3625,103.8342,UPPER THOMSON,CENTRAL
4942,2013,Jan,570405,-,-,-,428.5,BISHAN,1.3628,103.8349,UPPER THOMSON,CENTRAL
4943,2013,Jan,570406,-,263.6,363.2,-,BISHAN,1.3635,103.8336,UPPER THOMSON,CENTRAL
4944,2013,Jan,570407,-,259.0,389.2,-,BISHAN,1.3633,103.8341,UPPER THOMSON,CENTRAL
4945,2013,Jan,570408,-,-,-,478.1,BISHAN,1.3632,103.8347,UPPER THOMSON,CENTRAL
4946,2013,Jan,570441,-,-,347.9,522.6,BISHAN,1.3589,103.8317,UPPER THOMSON,CENTRAL
4947,2013,Jan,570442,-,-,-,415.3,BISHAN,1.3592,103.8322,UPPER THOMSON,CENTRAL
4948,2013,Jan,570443,-,-,406.3,469.0,BISHAN,1.3589,103.8326,UPPER THOMSON,CENTRAL
4949,2013,Jan,570444,-,-,-,464.1,BISHAN,1.3587,103.8324,UPPER THOMSON,CENTRAL
4950,2013,Jan,570445,-,-,382.0,468.1,BISHAN,1.3588,103.8318,UPPER THOMSON,CENTRAL
4951,2013,Jan,570446,-,-,392.9,382.9,BISHAN,1.3578,103.8322,UPPER THOMSON,CENTRAL
4952,2013,Jan,570447,-,-,-,424.7,BISHAN,1.3581,103.8319,UPPER THOMSON,CENTRAL
4953,2013,Jan,570448,-,-,365.3,426.0,BISHAN,1.3579,103.8311,UPPER THOMSON,CENTRAL
4954,2013,Jan,570449,-,-,375.5,444.0,BISHAN,1.3582,103.8308,UPPER THOMSON,CENTRAL
4955,2013,Jan,570450,-,-,-,392.3,BISHAN,1.3582,103.8304,UPPER THOMSON,CENTRAL
4956,2013,Jan,570451,-,-,365.0,319.8,BISHAN,1.3585,103.83,UPPER THOMSON,CENTRAL
4957,2013,Jan,570452,-,-,-,541.5,BISHAN,1.3586,103.8298,UPPER THOMSON,CENTRAL
4958,2013,Jan,570453,-,-,-,447.7,BISHAN,1.3593,103.8299,UPPER THOMSON,CENTRAL
4959,2013,Jan,570454,-,-,371.7,419.5,BISHAN,1.359,103.8305,UPPER THOMSON,CENTRAL
4960,2013,Jan,570455,-,-,378.4,512.3,BISHAN,1.3589,103.8307,UPPER THOMSON,CENTRAL
13386,2013,Feb,570022,-,261.5,-,476.9,BISHAN,1.3577,103.839,UPPER THOMSON,CENTRAL
13387,2013,Feb,570024,-,246.3,-,-,BISHAN,1.3549,103.8366,UPPER THOMSON,CENTRAL
13388,2013,Feb,570025,-,-,309.2,-,BISHAN,1.355,103.8381,UPPER THOMSON,CENTRAL
13389,2013,Feb,570026,109.0,-,-,-,BISHAN,1.356,103.8403,UPPER THOMSON,CENTRAL
13570,2013,Feb,570301,-,-,-,457.1,BISHAN,1.3495,103.8388,UPPER THOMSON,CENTRAL
13571,2013,Feb,570302,-,254.9,330.3,-,BISHAN,1.3496,103.839,UPPER THOMSON,CENTRAL
13572,2013,Feb,570303,-,-,327.5,420.6,BISHAN,1.3497,103.8387,UPPER THOMSON,CENTRAL
13573,2013,Feb,570304,-,240.0,-,-,BISHAN,1.3503,103.8381,UPPER THOMSON,CENTRAL
13574,2013,Feb,570305,-,219.6,-,-,BISHAN,1.3502,103.8387,UPPER THOMSON,CENTRAL
13575,2013,Feb,570306,-,280.7,470.4,-,BISHAN,1.3513,103.8394,UPPER THOMSON,CENTRAL
13576,2013,Feb,570307,-,237.2,327.5,-,BISHAN,1.3506,103.8387,UPPER THOMSON,CENTRAL
13577,2013,Feb,570308,-,241.7,-,-,BISHAN,1.3506,103.8375,UPPER THOMSON,CENTRAL
13578,2013,Feb,570309,-,241.7,-,-,BISHAN,1.3508,103.8378,UPPER THOMSON,CENTRAL
13579,2013,Feb,570310,-,-,299.7,375.7,BISHAN,1.3507,103.8386,UPPER THOMSON,CENTRAL
13580,2013,Feb,570311,-,249.4,383.9,-,BISHAN,1.3513,103.8394,UPPER THOMSON,CENTRAL
13581,2013,Feb,570312,-,-,416.6,424.1,BISHAN,1.3511,103.8388,UPPER THOMSON,CENTRAL
13582,2013,Feb,570313,-,220.5,363.3,-,BISHAN,1.3515,103.8371,UPPER THOMSON,CENTRAL
13583,2013,Feb,570315,-,-,-,395.0,BISHAN,1.352,103.8386,UPPER THOMSON,CENTRAL
13584,2013,Feb,570319,-,-,-,435.0,BISHAN,1.3530000000000002,103.8399,UPPER THOMSON,CENTRAL
13585,2013,Feb,570401,-,-,-,571.3,BISHAN,1.3626,103.8331,UPPER THOMSON,CENTRAL
13586,2013,Feb,570402,-,-,-,351.4,BISHAN,1.3626,103.8328,UPPER THOMSON,CENTRAL
13587,2013,Feb,570403,-,241.3,289.3,-,BISHAN,1.3627,103.8331,UPPER THOMSON,CENTRAL
13588,2013,Feb,570404,-,-,-,487.5,BISHAN,1.3625,103.8342,UPPER THOMSON,CENTRAL
13589,2013,Feb,570405,-,-,-,321.5,BISHAN,1.3628,103.8349,UPPER THOMSON,CENTRAL
13590,2013,Feb,570406,-,207.9,291.2,-,BISHAN,1.3635,103.8336,UPPER THOMSON,CENTRAL
