index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
797,2013,Jan,180262,-,-,332.1,-,ROCHOR,1.2988,103.8516,VICTORIA,CENTRAL
798,2013,Jan,180263,-,225.0,-,-,ROCHOR,1.2990000000000002,103.8518,VICTORIA,CENTRAL
799,2013,Jan,180264,-,234.5,-,508.7,ROCHOR,1.2992,103.852,VICTORIA,CENTRAL
800,2013,Jan,180271,-,248.9,-,-,ROCHOR,1.3007,103.8543,VICTORIA,CENTRAL
803,2013,Jan,181269,-,208.9,407.0,-,ROCHOR,1.3006,103.8537,VICTORIA,CENTRAL
804,2013,Jan,182269,-,-,359.2,-,ROCHOR,1.3001,103.8539,VICTORIA,CENTRAL
805,2013,Jan,183269,-,175.0,-,-,ROCHOR,1.3007,103.8537,VICTORIA,CENTRAL
9452,2013,Feb,180262,-,-,357.6,-,ROCHOR,1.2988,103.8516,VICTORIA,CENTRAL
9453,2013,Feb,180263,-,239.6,-,-,ROCHOR,1.2990000000000002,103.8518,VICTORIA,CENTRAL
9454,2013,Feb,180264,-,265.1,-,644.3,ROCHOR,1.2992,103.852,VICTORIA,CENTRAL
9455,2013,Feb,180271,-,266.6,-,-,ROCHOR,1.3007,103.8543,VICTORIA,CENTRAL
9458,2013,Feb,181269,-,270.9,411.5,-,ROCHOR,1.3006,103.8537,VICTORIA,CENTRAL
9459,2013,Feb,182269,-,-,373.4,-,ROCHOR,1.3001,103.8539,VICTORIA,CENTRAL
9460,2013,Feb,183269,-,205.0,-,-,ROCHOR,1.3007,103.8537,VICTORIA,CENTRAL
18081,2013,Mar,180262,-,-,349.7,-,ROCHOR,1.2988,103.8516,VICTORIA,CENTRAL
18082,2013,Mar,180263,-,232.0,-,-,ROCHOR,1.2990000000000002,103.8518,VICTORIA,CENTRAL
18083,2013,Mar,180264,-,267.3,-,514.3,ROCHOR,1.2992,103.852,VICTORIA,CENTRAL
18084,2013,Mar,180271,-,259.3,-,-,ROCHOR,1.3007,103.8543,VICTORIA,CENTRAL
18087,2013,Mar,181269,-,283.1,424.3,-,ROCHOR,1.3006,103.8537,VICTORIA,CENTRAL
18088,2013,Mar,182269,-,-,382.2,-,ROCHOR,1.3001,103.8539,VICTORIA,CENTRAL
18089,2013,Mar,183269,-,248.1,-,-,ROCHOR,1.3007,103.8537,VICTORIA,CENTRAL
26735,2013,Apr,180262,-,-,310.8,-,ROCHOR,1.2988,103.8516,VICTORIA,CENTRAL
26736,2013,Apr,180263,-,208.0,-,-,ROCHOR,1.2990000000000002,103.8518,VICTORIA,CENTRAL
26737,2013,Apr,180264,-,242.9,-,523.7,ROCHOR,1.2992,103.852,VICTORIA,CENTRAL
26738,2013,Apr,180271,-,239.0,-,-,ROCHOR,1.3007,103.8543,VICTORIA,CENTRAL
26741,2013,Apr,181269,-,286.9,377.5,-,ROCHOR,1.3006,103.8537,VICTORIA,CENTRAL
26742,2013,Apr,182269,-,-,341.3,-,ROCHOR,1.3001,103.8539,VICTORIA,CENTRAL
26743,2013,Apr,183269,-,195.2,-,-,ROCHOR,1.3007,103.8537,VICTORIA,CENTRAL
35425,2013,May,180262,-,-,406.6,-,ROCHOR,1.2988,103.8516,VICTORIA,CENTRAL
35426,2013,May,180263,-,293.4,-,-,ROCHOR,1.2990000000000002,103.8518,VICTORIA,CENTRAL
35427,2013,May,180264,-,347.3,-,751.3,ROCHOR,1.2992,103.852,VICTORIA,CENTRAL
35428,2013,May,180271,-,329.6,-,-,ROCHOR,1.3007,103.8543,VICTORIA,CENTRAL
35431,2013,May,181269,-,284.1,316.0,-,ROCHOR,1.3006,103.8537,VICTORIA,CENTRAL
35432,2013,May,182269,-,-,403.3,-,ROCHOR,1.3001,103.8539,VICTORIA,CENTRAL
35433,2013,May,183269,-,241.0,-,-,ROCHOR,1.3007,103.8537,VICTORIA,CENTRAL
44009,2013,Jun,180262,-,-,381.4,-,ROCHOR,1.2988,103.8516,VICTORIA,CENTRAL
44010,2013,Jun,180263,-,276.2,-,-,ROCHOR,1.2990000000000002,103.8518,VICTORIA,CENTRAL
44011,2013,Jun,180264,-,311.6,-,681.3,ROCHOR,1.2992,103.852,VICTORIA,CENTRAL
44012,2013,Jun,180271,-,300.4,-,-,ROCHOR,1.3007,103.8543,VICTORIA,CENTRAL
