index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5720,2013,Jan,641271,-,-,306.8,355.8,JURONG WEST,1.351,103.704,WENYA,WEST
5721,2013,Jan,641272,-,-,304.5,295.2,JURONG WEST,1.3503,103.7053,WENYA,WEST
5722,2013,Jan,641273,-,-,305.1,353.3,JURONG WEST,1.3513,103.7036,WENYA,WEST
5723,2013,Jan,641274,-,-,-,399.4,JURONG WEST,1.3521,103.7035,WENYA,WEST
5724,2013,Jan,641275,-,-,330.4,383.6,JURONG WEST,1.3523,103.7023,WENYA,WEST
5725,2013,Jan,641276,-,-,254.8,-,JURONG WEST,1.3533,103.7036,WENYA,WEST
5775,2013,Jan,642271,-,-,323.2,392.2,JURONG WEST,1.3505,103.7042,WENYA,WEST
5776,2013,Jan,642272,-,-,-,337.2,JURONG WEST,1.3507,103.7051,WENYA,WEST
5777,2013,Jan,642273,-,-,304.9,320.9,JURONG WEST,1.3518,103.7038,WENYA,WEST
5778,2013,Jan,642274,-,-,-,359.4,JURONG WEST,1.3529,103.703,WENYA,WEST
5779,2013,Jan,642275,-,-,296.6,284.1,JURONG WEST,1.3529,103.7022,WENYA,WEST
5780,2013,Jan,642276,-,-,291.0,255.7,JURONG WEST,1.3527,103.7042,WENYA,WEST
5825,2013,Jan,643271,-,-,-,422.7,JURONG WEST,1.35,103.7044,WENYA,WEST
5826,2013,Jan,643272,-,-,280.5,371.6,JURONG WEST,1.3511,103.7048,WENYA,WEST
5827,2013,Jan,643273,-,-,303.3,280.3,JURONG WEST,1.3521,103.7042,WENYA,WEST
5828,2013,Jan,643274,-,-,-,283.4,JURONG WEST,1.3533,103.7038,WENYA,WEST
5829,2013,Jan,643275,-,-,250.0,316.9,JURONG WEST,1.3534,103.7026,WENYA,WEST
5830,2013,Jan,643276,-,-,248.2,271.3,JURONG WEST,1.3532,103.7042,WENYA,WEST
5865,2013,Jan,644271,-,-,307.8,347.3,JURONG WEST,1.3499,103.7049,WENYA,WEST
5866,2013,Jan,644272,-,-,272.0,305.3,JURONG WEST,1.3513,103.7045,WENYA,WEST
5867,2013,Jan,644273,-,-,325.2,-,JURONG WEST,1.3522,103.703,WENYA,WEST
5868,2013,Jan,644274,-,-,306.3,276.5,JURONG WEST,1.3522,103.7042,WENYA,WEST
5869,2013,Jan,644275,-,-,314.2,334.2,JURONG WEST,1.3536,103.7027,WENYA,WEST
5870,2013,Jan,644276,-,-,247.2,289.5,JURONG WEST,1.3536,103.7046,WENYA,WEST
14360,2013,Feb,641271,-,-,331.8,406.9,JURONG WEST,1.351,103.704,WENYA,WEST
14361,2013,Feb,641272,-,-,341.5,322.4,JURONG WEST,1.3503,103.7053,WENYA,WEST
14362,2013,Feb,641273,-,-,315.8,395.7,JURONG WEST,1.3513,103.7036,WENYA,WEST
14363,2013,Feb,641274,-,-,-,450.0,JURONG WEST,1.3521,103.7035,WENYA,WEST
14364,2013,Feb,641275,-,-,370.4,403.5,JURONG WEST,1.3523,103.7023,WENYA,WEST
14365,2013,Feb,641276,-,-,304.8,-,JURONG WEST,1.3533,103.7036,WENYA,WEST
14415,2013,Feb,642271,-,-,348.2,439.2,JURONG WEST,1.3505,103.7042,WENYA,WEST
14416,2013,Feb,642272,-,-,-,387.8,JURONG WEST,1.3507,103.7051,WENYA,WEST
14417,2013,Feb,642273,-,-,337.1,351.7,JURONG WEST,1.3518,103.7038,WENYA,WEST
