index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7104,2013,Jan,730301,-,-,318.3,595.9,WOODLANDS,1.4318,103.7735,WOODGROVE,NORTH
7105,2013,Jan,730302,-,-,-,576.1,WOODLANDS,1.4318,103.7744,WOODGROVE,NORTH
7106,2013,Jan,730303,-,-,-,503.9,WOODLANDS,1.431,103.7739,WOODGROVE,NORTH
7107,2013,Jan,730304,-,-,-,611.8,WOODLANDS,1.4301,103.7739,WOODGROVE,NORTH
7108,2013,Jan,730306,-,-,-,415.8,WOODLANDS,1.4302,103.7748,WOODGROVE,NORTH
7109,2013,Jan,730307,-,-,-,548.2,WOODLANDS,1.4296,103.7764,WOODGROVE,NORTH
7110,2013,Jan,730308,-,269.3,291.0,492.7,WOODLANDS,1.4297,103.7766,WOODGROVE,NORTH
7111,2013,Jan,730309,-,-,351.1,-,WOODLANDS,1.4298,103.7761,WOODGROVE,NORTH
7112,2013,Jan,730310,-,223.3,380.4,-,WOODLANDS,1.4303,103.776,WOODGROVE,NORTH
7113,2013,Jan,730311,-,279.5,333.0,-,WOODLANDS,1.4304,103.7762,WOODGROVE,NORTH
7114,2013,Jan,730312,-,-,287.5,-,WOODLANDS,1.4304,103.7757,WOODGROVE,NORTH
7115,2013,Jan,730313,-,244.7,342.0,-,WOODLANDS,1.4307,103.7762,WOODGROVE,NORTH
7116,2013,Jan,730314,-,249.0,328.2,-,WOODLANDS,1.4311,103.7761,WOODGROVE,NORTH
7117,2013,Jan,730315,-,-,325.8,-,WOODLANDS,1.4315,103.7757,WOODGROVE,NORTH
7118,2013,Jan,730316,-,266.2,361.1,-,WOODLANDS,1.4314,103.7764,WOODGROVE,NORTH
7119,2013,Jan,730317,-,247.1,-,-,WOODLANDS,1.4314,103.7763,WOODGROVE,NORTH
7120,2013,Jan,730318,-,246.7,364.5,361.4,WOODLANDS,1.4318,103.7773,WOODGROVE,NORTH
7121,2013,Jan,730319,-,211.9,342.8,-,WOODLANDS,1.4317,103.7774,WOODGROVE,NORTH
7122,2013,Jan,730320,-,-,-,409.5,WOODLANDS,1.4316,103.7783,WOODGROVE,NORTH
7123,2013,Jan,730321,-,-,328.4,402.5,WOODLANDS,1.4317,103.7791,WOODGROVE,NORTH
7124,2013,Jan,730322,-,-,253.9,403.8,WOODLANDS,1.4316,103.7789,WOODGROVE,NORTH
7125,2013,Jan,730323,-,-,-,448.4,WOODLANDS,1.4311,103.7791,WOODGROVE,NORTH
7126,2013,Jan,730324,-,-,308.6,-,WOODLANDS,1.4312,103.7796,WOODGROVE,NORTH
7127,2013,Jan,730327,-,-,362.3,-,WOODLANDS,1.4302,103.7801,WOODGROVE,NORTH
7128,2013,Jan,730328,-,-,-,508.9,WOODLANDS,1.4302,103.7794,WOODGROVE,NORTH
7129,2013,Jan,730329,-,-,316.6,-,WOODLANDS,1.4304,103.7789,WOODGROVE,NORTH
7130,2013,Jan,730330,-,241.3,355.8,500.8,WOODLANDS,1.4297,103.7786,WOODGROVE,NORTH
7131,2013,Jan,730331,-,241.6,302.8,593.9,WOODLANDS,1.4296,103.7787,WOODGROVE,NORTH
7132,2013,Jan,730332,-,-,340.0,-,WOODLANDS,1.4298,103.7791,WOODGROVE,NORTH
7133,2013,Jan,730333,-,-,312.9,-,WOODLANDS,1.4298,103.7801,WOODGROVE,NORTH
7134,2013,Jan,730334,-,-,316.4,-,WOODLANDS,1.4299,103.7805,WOODGROVE,NORTH
7135,2013,Jan,730335,-,-,347.2,-,WOODLANDS,1.4299,103.7805,WOODGROVE,NORTH
7136,2013,Jan,730336,-,-,308.0,-,WOODLANDS,1.4305,103.7818,WOODGROVE,NORTH
7137,2013,Jan,730337,-,-,346.0,-,WOODLANDS,1.4308,103.7817,WOODGROVE,NORTH
7138,2013,Jan,730338,-,-,353.6,-,WOODLANDS,1.4312,103.781,WOODGROVE,NORTH
7139,2013,Jan,730339,-,229.6,324.0,572.1,WOODLANDS,1.4309,103.7817,WOODGROVE,NORTH
7140,2013,Jan,730340,-,299.2,323.4,524.3,WOODLANDS,1.4314,103.7813,WOODGROVE,NORTH
7141,2013,Jan,730341,-,251.5,311.8,518.8,WOODLANDS,1.4315,103.7812,WOODGROVE,NORTH
7142,2013,Jan,730342,-,248.2,207.3,471.0,WOODLANDS,1.4318,103.7811,WOODGROVE,NORTH
7143,2013,Jan,730343,-,-,303.9,-,WOODLANDS,1.4313,103.7809,WOODGROVE,NORTH
7144,2013,Jan,730344,-,-,328.8,354.7,WOODLANDS,1.4319,103.7801,WOODGROVE,NORTH
7145,2013,Jan,730345,-,-,312.1,449.1,WOODLANDS,1.4322,103.7802,WOODGROVE,NORTH
