index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
6825,2013,Jan,680601,-,-,-,557.6,CHOA CHU KANG,1.3971,103.7448,YEW TEE,WEST
6826,2013,Jan,680602,-,-,-,521.6,CHOA CHU KANG,1.3972,103.7445,YEW TEE,WEST
6827,2013,Jan,680603,-,-,-,591.1,CHOA CHU KANG,1.3979,103.7445,YEW TEE,WEST
6828,2013,Jan,680604,-,-,-,677.1,CHOA CHU KANG,1.3981,103.7447,YEW TEE,WEST
6829,2013,Jan,680605,-,-,-,548.7,CHOA CHU KANG,1.3983,103.7435,YEW TEE,WEST
6830,2013,Jan,680606,-,-,-,542.1,CHOA CHU KANG,1.3983,103.744,YEW TEE,WEST
6831,2013,Jan,680607,-,-,361.9,502.5,CHOA CHU KANG,1.3991,103.7443,YEW TEE,WEST
6832,2013,Jan,680608,-,-,410.8,320.5,CHOA CHU KANG,1.3985,103.7451,YEW TEE,WEST
6833,2013,Jan,680609,-,-,406.1,492.3,CHOA CHU KANG,1.3994,103.7448,YEW TEE,WEST
6834,2013,Jan,680610,-,-,392.9,504.5,CHOA CHU KANG,1.3995,103.7439,YEW TEE,WEST
6835,2013,Jan,680611,-,-,355.8,435.2,CHOA CHU KANG,1.3997,103.7437,YEW TEE,WEST
6836,2013,Jan,680612,-,-,395.3,500.6,CHOA CHU KANG,1.4,103.7443,YEW TEE,WEST
6837,2013,Jan,680613,-,-,399.0,484.4,CHOA CHU KANG,1.4007,103.744,YEW TEE,WEST
6838,2013,Jan,680614,-,-,395.4,511.6,CHOA CHU KANG,1.4009,103.744,YEW TEE,WEST
6839,2013,Jan,680615,-,-,429.7,513.0,CHOA CHU KANG,1.4008,103.745,YEW TEE,WEST
6840,2013,Jan,680616,-,-,421.3,490.3,CHOA CHU KANG,1.3998,103.7448,YEW TEE,WEST
6841,2013,Jan,680617,-,-,411.1,510.5,CHOA CHU KANG,1.4004,103.7466,YEW TEE,WEST
6842,2013,Jan,680618,-,-,443.3,512.7,CHOA CHU KANG,1.4002,103.7469,YEW TEE,WEST
6843,2013,Jan,680619,-,-,403.2,499.1,CHOA CHU KANG,1.4005,103.7476,YEW TEE,WEST
6844,2013,Jan,680620,-,-,412.8,512.1,CHOA CHU KANG,1.3989,103.7469,YEW TEE,WEST
6845,2013,Jan,680621,-,-,490.6,464.2,CHOA CHU KANG,1.3993,103.7473,YEW TEE,WEST
6846,2013,Jan,680625,-,-,382.5,419.0,CHOA CHU KANG,1.3985,103.7461,YEW TEE,WEST
