index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
4655,2013,Jan,560601,-,239.6,-,-,ANG MO KIO,1.3806,103.8354,YIO CHU KANG WEST,NORTH-EAST
4656,2013,Jan,560602,-,254.2,253.5,559.8,ANG MO KIO,1.3804,103.8356,YIO CHU KANG WEST,NORTH-EAST
4657,2013,Jan,560603,-,242.5,269.4,626.5,ANG MO KIO,1.3803,103.8356,YIO CHU KANG WEST,NORTH-EAST
4658,2013,Jan,560604,-,246.9,278.9,261.7,ANG MO KIO,1.3797,103.8361,YIO CHU KANG WEST,NORTH-EAST
4659,2013,Jan,560605,-,212.6,-,-,ANG MO KIO,1.3798,103.8364,YIO CHU KANG WEST,NORTH-EAST
4660,2013,Jan,560606,-,270.4,-,-,ANG MO KIO,1.3792,103.8368,YIO CHU KANG WEST,NORTH-EAST
4661,2013,Jan,560607,-,214.3,277.7,351.5,ANG MO KIO,1.3807,103.8388,YIO CHU KANG WEST,NORTH-EAST
4662,2013,Jan,560608,-,245.5,-,-,ANG MO KIO,1.3788,103.8369,YIO CHU KANG WEST,NORTH-EAST
4663,2013,Jan,560609,-,-,330.5,403.0,ANG MO KIO,1.3791,103.838,YIO CHU KANG WEST,NORTH-EAST
4664,2013,Jan,560610,-,236.5,-,-,ANG MO KIO,1.3798,103.8397,YIO CHU KANG WEST,NORTH-EAST
4665,2013,Jan,560611,-,239.7,-,-,ANG MO KIO,1.3788,103.8369,YIO CHU KANG WEST,NORTH-EAST
4666,2013,Jan,560612,-,-,284.1,-,ANG MO KIO,1.3791,103.8383,YIO CHU KANG WEST,NORTH-EAST
4667,2013,Jan,560613,-,-,-,475.7,ANG MO KIO,1.3785,103.8393,YIO CHU KANG WEST,NORTH-EAST
4668,2013,Jan,560614,-,-,-,414.3,ANG MO KIO,1.3783,103.8394,YIO CHU KANG WEST,NORTH-EAST
4669,2013,Jan,560615,-,-,-,462.5,ANG MO KIO,1.3774,103.8396,YIO CHU KANG WEST,NORTH-EAST
4670,2013,Jan,560616,-,-,-,495.7,ANG MO KIO,1.3775,103.8388,YIO CHU KANG WEST,NORTH-EAST
4671,2013,Jan,560617,-,-,359.3,409.1,ANG MO KIO,1.3776,103.838,YIO CHU KANG WEST,NORTH-EAST
4672,2013,Jan,560618,-,-,-,379.1,ANG MO KIO,1.3782,103.8384,YIO CHU KANG WEST,NORTH-EAST
4673,2013,Jan,560619,-,-,347.1,403.2,ANG MO KIO,1.3784,103.8384,YIO CHU KANG WEST,NORTH-EAST
4674,2013,Jan,560620,-,-,291.9,381.8,ANG MO KIO,1.3827,103.8394,YIO CHU KANG WEST,NORTH-EAST
4675,2013,Jan,560621,-,231.1,-,-,ANG MO KIO,1.3834,103.8405,YIO CHU KANG WEST,NORTH-EAST
4676,2013,Jan,560622,-,-,353.0,389.6,ANG MO KIO,1.3819,103.8398,YIO CHU KANG WEST,NORTH-EAST
4677,2013,Jan,560623,-,236.7,-,-,ANG MO KIO,1.3826,103.8409,YIO CHU KANG WEST,NORTH-EAST
4678,2013,Jan,560624,-,236.1,292.5,399.7,ANG MO KIO,1.3817,103.8399,YIO CHU KANG WEST,NORTH-EAST
4679,2013,Jan,560625,-,243.6,-,-,ANG MO KIO,1.3821,103.8413,YIO CHU KANG WEST,NORTH-EAST
4680,2013,Jan,560626,177.4,-,-,-,ANG MO KIO,1.3808,103.8402,YIO CHU KANG WEST,NORTH-EAST
4681,2013,Jan,560627,-,-,287.3,516.9,ANG MO KIO,1.382,103.8413,YIO CHU KANG WEST,NORTH-EAST
4682,2013,Jan,560629,-,250.9,386.0,-,ANG MO KIO,1.38,103.8406,YIO CHU KANG WEST,NORTH-EAST
4683,2013,Jan,560630,-,271.7,-,-,ANG MO KIO,1.3805,103.8409,YIO CHU KANG WEST,NORTH-EAST
4684,2013,Jan,560631,-,236.2,-,-,ANG MO KIO,1.3797,103.8407,YIO CHU KANG WEST,NORTH-EAST
4685,2013,Jan,560633,-,235.6,328.0,559.0,ANG MO KIO,1.381,103.8423,YIO CHU KANG WEST,NORTH-EAST
4686,2013,Jan,560634,-,-,315.6,-,ANG MO KIO,1.3815,103.8433,YIO CHU KANG WEST,NORTH-EAST
4687,2013,Jan,560635,-,241.2,-,-,ANG MO KIO,1.3809,103.8424,YIO CHU KANG WEST,NORTH-EAST
4688,2013,Jan,560636,-,-,340.1,-,ANG MO KIO,1.381,103.8433,YIO CHU KANG WEST,NORTH-EAST
4689,2013,Jan,560637,-,269.5,-,-,ANG MO KIO,1.3805,103.8423,YIO CHU KANG WEST,NORTH-EAST
4690,2013,Jan,560638,-,-,343.5,-,ANG MO KIO,1.3808,103.8436,YIO CHU KANG WEST,NORTH-EAST
4691,2013,Jan,560639,-,228.8,-,-,ANG MO KIO,1.3798,103.8428,YIO CHU KANG WEST,NORTH-EAST
4692,2013,Jan,560640,-,-,342.8,-,ANG MO KIO,1.3798,103.8433,YIO CHU KANG WEST,NORTH-EAST
4693,2013,Jan,560641,164.9,-,-,-,ANG MO KIO,1.3787,103.8405,YIO CHU KANG WEST,NORTH-EAST
4694,2013,Jan,560642,-,-,349.8,373.6,ANG MO KIO,1.378,103.8411,YIO CHU KANG WEST,NORTH-EAST
4695,2013,Jan,560643,-,263.6,483.4,525.0,ANG MO KIO,1.3772,103.8407,YIO CHU KANG WEST,NORTH-EAST
4696,2013,Jan,560644,-,267.2,-,-,ANG MO KIO,1.379,103.841,YIO CHU KANG WEST,NORTH-EAST
4697,2013,Jan,560645,162.3,-,-,-,ANG MO KIO,1.3791,103.8422,YIO CHU KANG WEST,NORTH-EAST
4698,2013,Jan,560646,-,250.8,339.0,-,ANG MO KIO,1.3794,103.8443,YIO CHU KANG WEST,NORTH-EAST
4699,2013,Jan,560647,169.5,-,-,-,ANG MO KIO,1.3788,103.8435,YIO CHU KANG WEST,NORTH-EAST
4700,2013,Jan,560648,-,-,353.6,363.8,ANG MO KIO,1.3784,103.8436,YIO CHU KANG WEST,NORTH-EAST
4701,2013,Jan,560649,-,253.8,295.5,562.4,ANG MO KIO,1.3775,103.8437,YIO CHU KANG WEST,NORTH-EAST
13301,2013,Feb,560601,-,266.1,-,-,ANG MO KIO,1.3806,103.8354,YIO CHU KANG WEST,NORTH-EAST
13302,2013,Feb,560602,-,273.2,315.3,563.0,ANG MO KIO,1.3804,103.8356,YIO CHU KANG WEST,NORTH-EAST
13303,2013,Feb,560603,-,272.4,-,-,ANG MO KIO,1.3803,103.8356,YIO CHU KANG WEST,NORTH-EAST
13304,2013,Feb,560604,-,277.1,306.5,479.3,ANG MO KIO,1.3797,103.8361,YIO CHU KANG WEST,NORTH-EAST
13305,2013,Feb,560605,-,248.2,-,-,ANG MO KIO,1.3798,103.8364,YIO CHU KANG WEST,NORTH-EAST
13306,2013,Feb,560606,-,286.5,-,-,ANG MO KIO,1.3792,103.8368,YIO CHU KANG WEST,NORTH-EAST
13307,2013,Feb,560607,-,248.3,332.8,496.8,ANG MO KIO,1.3807,103.8388,YIO CHU KANG WEST,NORTH-EAST
13308,2013,Feb,560608,-,264.5,-,-,ANG MO KIO,1.3788,103.8369,YIO CHU KANG WEST,NORTH-EAST
13309,2013,Feb,560609,-,-,383.0,455.4,ANG MO KIO,1.3791,103.838,YIO CHU KANG WEST,NORTH-EAST
13310,2013,Feb,560610,-,276.4,-,-,ANG MO KIO,1.3798,103.8397,YIO CHU KANG WEST,NORTH-EAST
13311,2013,Feb,560611,-,272.9,-,-,ANG MO KIO,1.3788,103.8369,YIO CHU KANG WEST,NORTH-EAST
13312,2013,Feb,560612,-,-,342.2,-,ANG MO KIO,1.3791,103.8383,YIO CHU KANG WEST,NORTH-EAST
13313,2013,Feb,560613,-,-,-,551.0,ANG MO KIO,1.3785,103.8393,YIO CHU KANG WEST,NORTH-EAST
13314,2013,Feb,560614,-,-,-,488.5,ANG MO KIO,1.3783,103.8394,YIO CHU KANG WEST,NORTH-EAST
