index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8277,2013,Jan,760926,-,-,346.2,413.9,YISHUN,1.4276,103.8383,YISHUN CENTRAL,NORTH
8278,2013,Jan,760927,-,-,447.6,518.3,YISHUN,1.4282,103.8378,YISHUN CENTRAL,NORTH
8279,2013,Jan,760928,-,-,363.8,410.4,YISHUN,1.4275,103.8377,YISHUN CENTRAL,NORTH
8280,2013,Jan,760930,-,-,427.1,326.2,YISHUN,1.4269,103.8374,YISHUN CENTRAL,NORTH
8281,2013,Jan,760931,-,-,466.8,422.1,YISHUN,1.4267,103.8372,YISHUN CENTRAL,NORTH
8282,2013,Jan,760932,-,-,406.8,357.3,YISHUN,1.4264,103.8371,YISHUN CENTRAL,NORTH
8283,2013,Jan,760935,-,-,369.6,391.6,YISHUN,1.4254,103.8368,YISHUN CENTRAL,NORTH
16909,2013,Feb,760926,-,-,339.6,412.3,YISHUN,1.4276,103.8383,YISHUN CENTRAL,NORTH
16910,2013,Feb,760927,-,-,430.8,571.6,YISHUN,1.4282,103.8378,YISHUN CENTRAL,NORTH
16911,2013,Feb,760928,-,-,370.9,471.0,YISHUN,1.4275,103.8377,YISHUN CENTRAL,NORTH
16912,2013,Feb,760930,-,-,422.0,406.1,YISHUN,1.4269,103.8374,YISHUN CENTRAL,NORTH
16913,2013,Feb,760931,-,-,458.5,432.5,YISHUN,1.4267,103.8372,YISHUN CENTRAL,NORTH
16914,2013,Feb,760932,-,-,420.1,387.3,YISHUN,1.4264,103.8371,YISHUN CENTRAL,NORTH
16915,2013,Feb,760935,-,-,375.0,401.6,YISHUN,1.4254,103.8368,YISHUN CENTRAL,NORTH
25554,2013,Mar,760926,-,-,342.1,417.2,YISHUN,1.4276,103.8383,YISHUN CENTRAL,NORTH
25555,2013,Mar,760927,-,-,420.4,580.0,YISHUN,1.4282,103.8378,YISHUN CENTRAL,NORTH
25556,2013,Mar,760928,-,-,372.2,444.8,YISHUN,1.4275,103.8377,YISHUN CENTRAL,NORTH
25557,2013,Mar,760930,-,-,436.5,512.0,YISHUN,1.4269,103.8374,YISHUN CENTRAL,NORTH
25558,2013,Mar,760931,-,-,443.7,429.1,YISHUN,1.4267,103.8372,YISHUN CENTRAL,NORTH
25559,2013,Mar,760932,-,-,405.1,426.9,YISHUN,1.4264,103.8371,YISHUN CENTRAL,NORTH
