index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7899,2013,Jan,760246,-,-,364.5,-,YISHUN,1.435,103.843,YISHUN EAST,NORTH
7950,2013,Jan,760302,-,-,358.8,390.8,YISHUN,1.4301,103.8397,YISHUN EAST,NORTH
7951,2013,Jan,760303,-,250.7,374.3,-,YISHUN,1.4302,103.84,YISHUN EAST,NORTH
7952,2013,Jan,760304,-,248.6,383.1,-,YISHUN,1.4302,103.8406,YISHUN EAST,NORTH
7953,2013,Jan,760305,-,-,368.9,424.3,YISHUN,1.4304,103.8398,YISHUN EAST,NORTH
7954,2013,Jan,760306,-,-,331.9,414.3,YISHUN,1.4309,103.8402,YISHUN EAST,NORTH
7955,2013,Jan,760308,-,-,376.6,442.7,YISHUN,1.4314,103.8405,YISHUN EAST,NORTH
7956,2013,Jan,760309,-,-,405.6,371.1,YISHUN,1.4322,103.8405,YISHUN EAST,NORTH
7957,2013,Jan,760310,-,-,395.1,383.0,YISHUN,1.4322,103.8412,YISHUN EAST,NORTH
7958,2013,Jan,760311,-,-,312.1,-,YISHUN,1.4313,103.8409,YISHUN EAST,NORTH
7959,2013,Jan,760312,-,-,352.2,-,YISHUN,1.4317,103.8413,YISHUN EAST,NORTH
7960,2013,Jan,760314,-,-,408.9,507.7,YISHUN,1.4314,103.8418,YISHUN EAST,NORTH
7961,2013,Jan,760320,-,204.8,365.5,-,YISHUN,1.4294,103.8416,YISHUN EAST,NORTH
7962,2013,Jan,760321,-,250.9,359.6,-,YISHUN,1.429,103.8413,YISHUN EAST,NORTH
7963,2013,Jan,760322,-,-,384.8,474.4,YISHUN,1.4289,103.8409,YISHUN EAST,NORTH
7964,2013,Jan,760323,-,-,378.4,362.4,YISHUN,1.4283,103.8414,YISHUN EAST,NORTH
7965,2013,Jan,760324,-,-,-,556.2,YISHUN,1.4287,103.8418,YISHUN EAST,NORTH
7966,2013,Jan,760325,-,-,-,482.1,YISHUN,1.4292,103.842,YISHUN EAST,NORTH
7967,2013,Jan,760326,-,-,-,483.2,YISHUN,1.4297,103.8426,YISHUN EAST,NORTH
7968,2013,Jan,760327,-,-,348.4,-,YISHUN,1.43,103.8423,YISHUN EAST,NORTH
