index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
8053,2013,Jan,760602,-,-,304.6,346.1,YISHUN,1.4223,103.8364,YISHUN SOUTH,NORTH
8054,2013,Jan,760603,-,-,312.2,347.9,YISHUN,1.4216,103.8354,YISHUN SOUTH,NORTH
8055,2013,Jan,760604,-,170.6,260.7,448.8,YISHUN,1.4216,103.8356,YISHUN SOUTH,NORTH
8056,2013,Jan,760605,-,204.9,282.7,676.0,YISHUN,1.4219,103.8362,YISHUN SOUTH,NORTH
8057,2013,Jan,760606,-,-,-,416.3,YISHUN,1.4215,103.8363,YISHUN SOUTH,NORTH
8058,2013,Jan,760607,-,-,340.0,333.3,YISHUN,1.4215,103.8353,YISHUN SOUTH,NORTH
8059,2013,Jan,760608,-,-,-,463.8,YISHUN,1.4208,103.8353,YISHUN SOUTH,NORTH
8060,2013,Jan,760609,-,-,364.8,-,YISHUN,1.4211,103.8361,YISHUN SOUTH,NORTH
8061,2013,Jan,760610,-,-,361.9,-,YISHUN,1.4207,103.8361,YISHUN SOUTH,NORTH
8062,2013,Jan,760611,-,-,-,458.2,YISHUN,1.42,103.8361,YISHUN SOUTH,NORTH
8063,2013,Jan,760612,-,-,304.9,434.0,YISHUN,1.4205,103.8354,YISHUN SOUTH,NORTH
8064,2013,Jan,760613,-,-,314.9,402.7,YISHUN,1.4202,103.8353,YISHUN SOUTH,NORTH
8065,2013,Jan,760614,-,-,-,443.9,YISHUN,1.42,103.8361,YISHUN SOUTH,NORTH
8066,2013,Jan,760615,-,245.3,366.7,-,YISHUN,1.4195,103.8354,YISHUN SOUTH,NORTH
8067,2013,Jan,760616,-,-,-,517.2,YISHUN,1.4193,103.8358,YISHUN SOUTH,NORTH
8068,2013,Jan,760617,-,270.9,376.6,-,YISHUN,1.4194,103.8354,YISHUN SOUTH,NORTH
8069,2013,Jan,760618,-,300.1,335.8,412.4,YISHUN,1.4187,103.8356,YISHUN SOUTH,NORTH
8070,2013,Jan,760619,-,-,314.8,363.9,YISHUN,1.4191,103.8349,YISHUN SOUTH,NORTH
8071,2013,Jan,760620,-,-,371.8,431.9,YISHUN,1.4188,103.8347,YISHUN SOUTH,NORTH
