index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
7786,2013,Jan,760101,-,340.4,-,-,YISHUN,1.4307,103.8278,YISHUN WEST,NORTH
7787,2013,Jan,760103,-,375.4,405.8,-,YISHUN,1.4316,103.8292,YISHUN WEST,NORTH
7788,2013,Jan,760106,-,264.5,544.5,-,YISHUN,1.4316,103.8272,YISHUN WEST,NORTH
7789,2013,Jan,760107,-,263.6,339.8,583.0,YISHUN,1.4331,103.8271,YISHUN WEST,NORTH
7790,2013,Jan,760108,128.0,265.2,385.1,-,YISHUN,1.4321,103.8287,YISHUN WEST,NORTH
7791,2013,Jan,760109,-,-,333.6,414.6,YISHUN,1.4326,103.8286,YISHUN WEST,NORTH
7792,2013,Jan,760110,-,245.8,387.0,-,YISHUN,1.4334,103.8291,YISHUN WEST,NORTH
7793,2013,Jan,760111,-,268.7,-,-,YISHUN,1.4335,103.8282,YISHUN WEST,NORTH
7794,2013,Jan,760112,-,246.5,371.3,-,YISHUN,1.4343,103.8288,YISHUN WEST,NORTH
7795,2013,Jan,760113,-,233.2,-,-,YISHUN,1.4344,103.8287,YISHUN WEST,NORTH
7796,2013,Jan,760114,-,277.6,-,-,YISHUN,1.4347,103.8269,YISHUN WEST,NORTH
7797,2013,Jan,760115,-,278.0,-,-,YISHUN,1.4343,103.8282,YISHUN WEST,NORTH
7798,2013,Jan,760116,-,293.6,356.0,-,YISHUN,1.4353,103.8284,YISHUN WEST,NORTH
7799,2013,Jan,760117,-,279.0,409.7,-,YISHUN,1.4355,103.8282,YISHUN WEST,NORTH
7800,2013,Jan,760118,-,267.9,381.3,-,YISHUN,1.4357,103.8289,YISHUN WEST,NORTH
7801,2013,Jan,760119,-,228.1,483.0,-,YISHUN,1.4353,103.8291,YISHUN WEST,NORTH
7802,2013,Jan,760120,-,-,364.5,442.6,YISHUN,1.435,103.8293,YISHUN WEST,NORTH
7803,2013,Jan,760121,-,274.9,-,-,YISHUN,1.4342,103.8301,YISHUN WEST,NORTH
7804,2013,Jan,760122,-,251.7,372.0,-,YISHUN,1.435,103.8312,YISHUN WEST,NORTH
7805,2013,Jan,760123,-,230.6,318.8,-,YISHUN,1.4347,103.8317,YISHUN WEST,NORTH
