index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5031,2013,Jan,600101,-,218.7,-,-,JURONG EAST,1.3368,103.7388,YUHUA EAST,WEST
5032,2013,Jan,600102,-,194.8,-,-,JURONG EAST,1.3363,103.7382,YUHUA EAST,WEST
5033,2013,Jan,600103,-,-,-,347.0,JURONG EAST,1.3367,103.7379,YUHUA EAST,WEST
5034,2013,Jan,600104,-,205.0,-,-,JURONG EAST,1.3367,103.7378,YUHUA EAST,WEST
5035,2013,Jan,600105,-,-,306.3,-,JURONG EAST,1.3375,103.7384,YUHUA EAST,WEST
5036,2013,Jan,600106,-,-,-,329.1,JURONG EAST,1.3375,103.7377,YUHUA EAST,WEST
5037,2013,Jan,600107,-,-,-,435.8,JURONG EAST,1.3376,103.738,YUHUA EAST,WEST
5038,2013,Jan,600108,-,-,301.6,-,JURONG EAST,1.3385,103.7372,YUHUA EAST,WEST
5039,2013,Jan,600109,-,-,-,328.6,JURONG EAST,1.3386,103.7359,YUHUA EAST,WEST
5040,2013,Jan,600110,-,232.6,-,-,JURONG EAST,1.3388,103.7367,YUHUA EAST,WEST
5041,2013,Jan,600111,-,-,-,355.1,JURONG EAST,1.3388,103.7354,YUHUA EAST,WEST
5042,2013,Jan,600112,-,-,255.3,-,JURONG EAST,1.3394,103.736,YUHUA EAST,WEST
5043,2013,Jan,600113,-,-,281.8,-,JURONG EAST,1.339,103.735,YUHUA EAST,WEST
5044,2013,Jan,600115,-,193.3,-,-,JURONG EAST,1.3397,103.7357,YUHUA EAST,WEST
5045,2013,Jan,600116,-,-,-,348.6,JURONG EAST,1.3396,103.7347,YUHUA EAST,WEST
5054,2013,Jan,600209,-,-,297.9,436.4,JURONG EAST,1.3381,103.7404,YUHUA EAST,WEST
5055,2013,Jan,600210,-,224.0,305.6,663.3,JURONG EAST,1.3391,103.7386,YUHUA EAST,WEST
5056,2013,Jan,600211,-,222.2,309.7,-,JURONG EAST,1.3385,103.7398,YUHUA EAST,WEST
5057,2013,Jan,600212,-,-,-,319.3,JURONG EAST,1.3394,103.7403,YUHUA EAST,WEST
5058,2013,Jan,600213,-,-,-,313.9,JURONG EAST,1.3392,103.7398,YUHUA EAST,WEST
5059,2013,Jan,600214,-,200.8,344.7,-,JURONG EAST,1.339,103.7395,YUHUA EAST,WEST
5060,2013,Jan,600215,-,264.9,-,-,JURONG EAST,1.3402,103.7385,YUHUA EAST,WEST
5061,2013,Jan,600216,-,-,-,434.7,JURONG EAST,1.3394,103.7377,YUHUA EAST,WEST
5062,2013,Jan,600217,-,-,328.3,-,JURONG EAST,1.3401,103.7381,YUHUA EAST,WEST
5063,2013,Jan,600218,-,-,291.7,-,JURONG EAST,1.3405,103.738,YUHUA EAST,WEST
5064,2013,Jan,600219,-,-,326.1,-,JURONG EAST,1.3409,103.7381,YUHUA EAST,WEST
5065,2013,Jan,600220,-,-,-,335.5,JURONG EAST,1.341,103.7374,YUHUA EAST,WEST
5066,2013,Jan,600221,-,308.2,-,-,JURONG EAST,1.3411,103.737,YUHUA EAST,WEST
5067,2013,Jan,600222,-,217.3,375.5,-,JURONG EAST,1.3409,103.7359,YUHUA EAST,WEST
5068,2013,Jan,600223,-,-,355.2,-,JURONG EAST,1.3409,103.7361,YUHUA EAST,WEST
5069,2013,Jan,600224,-,-,318.5,-,JURONG EAST,1.3416,103.7367,YUHUA EAST,WEST
5070,2013,Jan,600226,-,-,-,352.0,JURONG EAST,1.3415,103.736,YUHUA EAST,WEST
5071,2013,Jan,600227,-,-,-,353.3,JURONG EAST,1.3419,103.7363,YUHUA EAST,WEST
5072,2013,Jan,600228,-,-,307.1,352.1,JURONG EAST,1.3423,103.7363,YUHUA EAST,WEST
5073,2013,Jan,600229,-,233.3,337.1,-,JURONG EAST,1.3417,103.7379,YUHUA EAST,WEST
5074,2013,Jan,600230,-,-,-,346.3,JURONG EAST,1.3414,103.7374,YUHUA EAST,WEST
5075,2013,Jan,600231,-,241.6,-,-,JURONG EAST,1.341,103.738,YUHUA EAST,WEST
5076,2013,Jan,600232,-,246.6,-,-,JURONG EAST,1.34,103.7405,YUHUA EAST,WEST
5077,2013,Jan,600233,-,238.5,269.4,-,JURONG EAST,1.3402,103.7409,YUHUA EAST,WEST
5078,2013,Jan,600234,-,-,307.1,347.6,JURONG EAST,1.3398,103.7417,YUHUA EAST,WEST
