index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5126,2013,Jan,600301,-,254.7,-,-,JURONG EAST,1.3442,103.7353,YUHUA WEST,WEST
5127,2013,Jan,600302,-,262.7,-,-,JURONG EAST,1.345,103.7338,YUHUA WEST,WEST
5128,2013,Jan,600303,-,232.4,274.0,617.3,JURONG EAST,1.3445,103.7359,YUHUA WEST,WEST
5129,2013,Jan,600304,-,244.5,-,-,JURONG EAST,1.3449,103.7348,YUHUA WEST,WEST
5130,2013,Jan,600305,-,-,348.5,394.0,JURONG EAST,1.3455,103.7354,YUHUA WEST,WEST
5131,2013,Jan,600306,-,249.5,-,-,JURONG EAST,1.3458,103.7355,YUHUA WEST,WEST
5132,2013,Jan,600307,-,-,373.1,397.6,JURONG EAST,1.3468,103.7351,YUHUA WEST,WEST
5133,2013,Jan,600308,-,243.7,-,-,JURONG EAST,1.3471,103.7346,YUHUA WEST,WEST
5134,2013,Jan,600309,-,-,488.7,463.4,JURONG EAST,1.3478,103.7343,YUHUA WEST,WEST
5135,2013,Jan,600310,-,-,324.5,412.9,JURONG EAST,1.348,103.7341,YUHUA WEST,WEST
5136,2013,Jan,600311,-,-,337.5,369.4,JURONG EAST,1.3475,103.7325,YUHUA WEST,WEST
5137,2013,Jan,600312,-,-,371.9,422.3,JURONG EAST,1.347,103.7327,YUHUA WEST,WEST
5138,2013,Jan,600313,-,243.2,417.3,-,JURONG EAST,1.3473,103.7335,YUHUA WEST,WEST
5139,2013,Jan,600314,-,-,369.7,418.0,JURONG EAST,1.3467,103.733,YUHUA WEST,WEST
5140,2013,Jan,600315,-,273.2,381.5,-,JURONG EAST,1.3463,103.7328,YUHUA WEST,WEST
5141,2013,Jan,600316,-,-,414.6,418.4,JURONG EAST,1.3463,103.7322,YUHUA WEST,WEST
5142,2013,Jan,600317,-,-,389.2,364.6,JURONG EAST,1.3469,103.7311,YUHUA WEST,WEST
5143,2013,Jan,600319,-,-,399.0,-,JURONG EAST,1.3481,103.7305,YUHUA WEST,WEST
5144,2013,Jan,600320,-,-,348.9,412.2,JURONG EAST,1.3484,103.7308,YUHUA WEST,WEST
5145,2013,Jan,600321,-,243.4,394.2,-,JURONG EAST,1.3483,103.7302,YUHUA WEST,WEST
5146,2013,Jan,600322,-,-,360.3,421.9,JURONG EAST,1.3481,103.7296,YUHUA WEST,WEST
5147,2013,Jan,600323,-,-,-,439.0,JURONG EAST,1.3485,103.7289,YUHUA WEST,WEST
5148,2013,Jan,600324,-,-,378.5,405.4,JURONG EAST,1.3489,103.7299,YUHUA WEST,WEST
5149,2013,Jan,600325,-,-,-,504.3,JURONG EAST,1.3489,103.729,YUHUA WEST,WEST
5150,2013,Jan,600326,-,333.5,-,-,JURONG EAST,1.3491,103.7297,YUHUA WEST,WEST
5151,2013,Jan,600327,-,-,-,454.5,JURONG EAST,1.3492,103.7289,YUHUA WEST,WEST
5152,2013,Jan,600328,-,-,364.4,471.3,JURONG EAST,1.3493,103.73,YUHUA WEST,WEST
5153,2013,Jan,600329,-,274.6,-,-,JURONG EAST,1.3503,103.7298,YUHUA WEST,WEST
5154,2013,Jan,600330,-,262.8,392.9,-,JURONG EAST,1.3507,103.7301,YUHUA WEST,WEST
5155,2013,Jan,600331,-,-,319.6,442.2,JURONG EAST,1.3511,103.7301,YUHUA WEST,WEST
5156,2013,Jan,600332,-,-,463.7,446.1,JURONG EAST,1.3515,103.7302,YUHUA WEST,WEST
5157,2013,Jan,600333,-,-,-,517.3,JURONG EAST,1.3514,103.7304,YUHUA WEST,WEST
5158,2013,Jan,600334,-,-,-,591.8,JURONG EAST,1.3507,103.7314,YUHUA WEST,WEST
5159,2013,Jan,600335,-,-,-,493.4,JURONG EAST,1.3502,103.7321,YUHUA WEST,WEST
5160,2013,Jan,600336,-,-,-,526.0,JURONG EAST,1.3506,103.7314,YUHUA WEST,WEST
5161,2013,Jan,600337,-,-,-,467.1,JURONG EAST,1.3501,103.7317,YUHUA WEST,WEST
5162,2013,Jan,600338,-,-,321.8,-,JURONG EAST,1.3501,103.7312,YUHUA WEST,WEST
5163,2013,Jan,600339,-,253.6,336.5,-,JURONG EAST,1.3496,103.7316,YUHUA WEST,WEST
5164,2013,Jan,600340,-,-,-,451.6,JURONG EAST,1.3504,103.7305,YUHUA WEST,WEST
5165,2013,Jan,600341,-,257.7,331.6,-,JURONG EAST,1.3494,103.7313,YUHUA WEST,WEST
5166,2013,Jan,600343,-,270.5,-,-,JURONG EAST,1.3459,103.731,YUHUA WEST,WEST
5167,2013,Jan,600345,-,389.2,-,-,JURONG EAST,1.3457,103.7311,YUHUA WEST,WEST
5168,2013,Jan,600346,-,266.0,-,-,JURONG EAST,1.3451,103.7306,YUHUA WEST,WEST
5169,2013,Jan,600348,-,280.8,-,-,JURONG EAST,1.3446,103.7312,YUHUA WEST,WEST
5170,2013,Jan,600349,-,397.0,-,-,JURONG EAST,1.3445,103.7313,YUHUA WEST,WEST
5171,2013,Jan,600351,-,344.5,-,-,JURONG EAST,1.3449,103.7307,YUHUA WEST,WEST
5172,2013,Jan,600352,-,301.9,-,-,JURONG EAST,1.345,103.7304,YUHUA WEST,WEST
5173,2013,Jan,600373,153.1,-,-,-,JURONG EAST,1.3493,103.7326,YUHUA WEST,WEST
5174,2013,Jan,600374,121.9,-,-,-,JURONG EAST,1.3495,103.7328,YUHUA WEST,WEST
5201,2013,Jan,601318,153.1,-,-,-,JURONG EAST,1.3475,103.7309,YUHUA WEST,WEST
5202,2013,Jan,601322,-,-,-,475.1,JURONG EAST,1.3478,103.7292,YUHUA WEST,WEST
13769,2013,Feb,600301,-,234.8,-,-,JURONG EAST,1.3442,103.7353,YUHUA WEST,WEST
13770,2013,Feb,600302,-,241.5,-,-,JURONG EAST,1.345,103.7338,YUHUA WEST,WEST
13771,2013,Feb,600303,-,201.6,259.0,491.3,JURONG EAST,1.3445,103.7359,YUHUA WEST,WEST
13772,2013,Feb,600304,-,232.3,-,-,JURONG EAST,1.3449,103.7348,YUHUA WEST,WEST
13773,2013,Feb,600305,-,-,361.4,367.2,JURONG EAST,1.3455,103.7354,YUHUA WEST,WEST
13774,2013,Feb,600306,-,238.1,-,-,JURONG EAST,1.3458,103.7355,YUHUA WEST,WEST
13775,2013,Feb,600307,-,-,346.6,392.3,JURONG EAST,1.3468,103.7351,YUHUA WEST,WEST
13776,2013,Feb,600308,-,232.8,-,-,JURONG EAST,1.3471,103.7346,YUHUA WEST,WEST
13777,2013,Feb,600309,-,-,405.6,407.3,JURONG EAST,1.3478,103.7343,YUHUA WEST,WEST
13778,2013,Feb,600310,-,-,298.3,363.1,JURONG EAST,1.348,103.7341,YUHUA WEST,WEST
13779,2013,Feb,600311,-,-,291.2,318.4,JURONG EAST,1.3475,103.7325,YUHUA WEST,WEST
13780,2013,Feb,600312,-,-,327.6,422.0,JURONG EAST,1.347,103.7327,YUHUA WEST,WEST
13781,2013,Feb,600313,-,248.8,382.5,-,JURONG EAST,1.3473,103.7335,YUHUA WEST,WEST
13782,2013,Feb,600314,-,-,339.3,373.0,JURONG EAST,1.3467,103.733,YUHUA WEST,WEST
13783,2013,Feb,600315,-,240.5,352.8,-,JURONG EAST,1.3463,103.7328,YUHUA WEST,WEST
13784,2013,Feb,600316,-,-,399.9,410.8,JURONG EAST,1.3463,103.7322,YUHUA WEST,WEST
13785,2013,Feb,600317,-,-,355.4,341.6,JURONG EAST,1.3469,103.7311,YUHUA WEST,WEST
13786,2013,Feb,600319,-,-,365.3,-,JURONG EAST,1.3481,103.7305,YUHUA WEST,WEST
13787,2013,Feb,600320,-,-,341.3,401.1,JURONG EAST,1.3484,103.7308,YUHUA WEST,WEST
13788,2013,Feb,600321,-,218.3,378.1,-,JURONG EAST,1.3483,103.7302,YUHUA WEST,WEST
13789,2013,Feb,600322,-,-,341.8,404.9,JURONG EAST,1.3481,103.7296,YUHUA WEST,WEST
13790,2013,Feb,600323,-,-,-,440.1,JURONG EAST,1.3485,103.7289,YUHUA WEST,WEST
13791,2013,Feb,600324,-,-,368.0,389.2,JURONG EAST,1.3489,103.7299,YUHUA WEST,WEST
13792,2013,Feb,600325,-,-,-,493.1,JURONG EAST,1.3489,103.729,YUHUA WEST,WEST
13793,2013,Feb,600326,-,262.7,-,-,JURONG EAST,1.3491,103.7297,YUHUA WEST,WEST
13794,2013,Feb,600327,-,-,-,413.6,JURONG EAST,1.3492,103.7289,YUHUA WEST,WEST
13795,2013,Feb,600328,-,-,354.1,473.2,JURONG EAST,1.3493,103.73,YUHUA WEST,WEST
13796,2013,Feb,600329,-,251.3,-,-,JURONG EAST,1.3503,103.7298,YUHUA WEST,WEST
13797,2013,Feb,600330,-,242.0,383.3,-,JURONG EAST,1.3507,103.7301,YUHUA WEST,WEST
13798,2013,Feb,600331,-,-,287.5,392.7,JURONG EAST,1.3511,103.7301,YUHUA WEST,WEST
13799,2013,Feb,600332,-,-,388.0,409.0,JURONG EAST,1.3515,103.7302,YUHUA WEST,WEST
13800,2013,Feb,600333,-,-,-,456.7,JURONG EAST,1.3514,103.7304,YUHUA WEST,WEST
13801,2013,Feb,600334,-,-,-,548.5,JURONG EAST,1.3507,103.7314,YUHUA WEST,WEST
13802,2013,Feb,600335,-,-,-,454.4,JURONG EAST,1.3502,103.7321,YUHUA WEST,WEST
13803,2013,Feb,600336,-,-,-,495.8,JURONG EAST,1.3506,103.7314,YUHUA WEST,WEST
