index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
5541,2013,Jan,640701,-,-,-,415.0,JURONG WEST,1.3425,103.6948,YUNNAN,WEST
5542,2013,Jan,640702,-,-,-,460.1,JURONG WEST,1.342,103.6954,YUNNAN,WEST
5543,2013,Jan,640703,-,-,302.4,456.9,JURONG WEST,1.3418,103.6955,YUNNAN,WEST
5544,2013,Jan,640704,-,-,359.2,357.0,JURONG WEST,1.341,103.6953,YUNNAN,WEST
5545,2013,Jan,640705,-,-,372.2,369.0,JURONG WEST,1.341,103.6948,YUNNAN,WEST
5546,2013,Jan,640706,-,-,348.3,368.4,JURONG WEST,1.3418,103.6946,YUNNAN,WEST
5547,2013,Jan,640707,-,-,344.2,399.8,JURONG WEST,1.342,103.694,YUNNAN,WEST
5548,2013,Jan,640708,-,-,-,445.9,JURONG WEST,1.342,103.6942,YUNNAN,WEST
5549,2013,Jan,640709,-,-,-,384.3,JURONG WEST,1.3425,103.6947,YUNNAN,WEST
5550,2013,Jan,640710,-,-,-,463.4,JURONG WEST,1.3430000000000002,103.6952,YUNNAN,WEST
5551,2013,Jan,640711,-,-,306.8,341.4,JURONG WEST,1.3432,103.6956,YUNNAN,WEST
5552,2013,Jan,640712,-,-,304.0,419.1,JURONG WEST,1.3423,103.6964,YUNNAN,WEST
5553,2013,Jan,640713,-,-,328.6,501.3,JURONG WEST,1.3435,103.6961,YUNNAN,WEST
5554,2013,Jan,640714,-,-,-,457.7,JURONG WEST,1.3431,103.6965,YUNNAN,WEST
5555,2013,Jan,640715,-,-,327.1,382.6,JURONG WEST,1.3439,103.6965,YUNNAN,WEST
5556,2013,Jan,640716,-,-,339.7,-,JURONG WEST,1.3435,103.6961,YUNNAN,WEST
5557,2013,Jan,640717,-,-,315.0,-,JURONG WEST,1.3435,103.6973,YUNNAN,WEST
5558,2013,Jan,640718,-,-,353.8,-,JURONG WEST,1.3435,103.6975,YUNNAN,WEST
5559,2013,Jan,640719,-,-,-,469.9,JURONG WEST,1.3448,103.6967,YUNNAN,WEST
5560,2013,Jan,640720,-,-,330.9,384.2,JURONG WEST,1.3442,103.6975,YUNNAN,WEST
5561,2013,Jan,640721,-,-,316.6,374.4,JURONG WEST,1.3441,103.6975,YUNNAN,WEST
5562,2013,Jan,640722,-,-,323.0,-,JURONG WEST,1.3438,103.6983,YUNNAN,WEST
5563,2013,Jan,640723,-,-,282.0,355.7,JURONG WEST,1.3443,103.6982,YUNNAN,WEST
5564,2013,Jan,640724,-,-,335.6,365.4,JURONG WEST,1.3454,103.6984,YUNNAN,WEST
5565,2013,Jan,640725,-,-,314.1,419.1,JURONG WEST,1.3455,103.6977,YUNNAN,WEST
5566,2013,Jan,640726,-,-,-,514.1,JURONG WEST,1.346,103.6969,YUNNAN,WEST
5567,2013,Jan,640727,-,-,335.4,341.2,JURONG WEST,1.3456,103.6976,YUNNAN,WEST
5568,2013,Jan,640728,-,-,296.2,356.6,JURONG WEST,1.3462,103.6977,YUNNAN,WEST
5569,2013,Jan,640729,-,-,315.3,400.2,JURONG WEST,1.3463,103.6978,YUNNAN,WEST
5570,2013,Jan,640730,-,-,307.6,-,JURONG WEST,1.3464,103.6988,YUNNAN,WEST
5571,2013,Jan,640731,-,-,325.8,-,JURONG WEST,1.3454,103.6987,YUNNAN,WEST
5572,2013,Jan,640732,-,-,290.1,422.7,JURONG WEST,1.3464,103.6993,YUNNAN,WEST
5573,2013,Jan,640733,-,-,367.3,358.4,JURONG WEST,1.3456,103.7002,YUNNAN,WEST
5574,2013,Jan,640734,-,-,313.4,344.7,JURONG WEST,1.3455,103.7003,YUNNAN,WEST
5575,2013,Jan,640735,-,-,330.5,460.9,JURONG WEST,1.346,103.701,YUNNAN,WEST
